case,es_type,paper,study_ID,sei,mu_self_inclusive,mu_leave_one_out,power_self,power_loo,type_M_self,type_M_loo,type_S_self,type_S_loo
MA14_02.csv,SMD,MA14,Thany et al,0.14946986685141833,-0.23607219737444507,-0.2347446577585093,0.35196268681427023,0.34867939986641794,1.674,1.677,5.698012977393438e-4,5.948273316437102e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14939158415673842,-0.23607219737444507,-0.2347446577585093,0.35226921525181343,0.34898314284565546,1.667,1.675,5.675230596577355e-4,5.924634421339559e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15165439716869578,-0.23607219737444507,-0.2347446577585093,0.3435756719326748,0.3403692692536726,1.689,1.696,6.360981118669753e-4,6.635927979093228e-4
MA14_02.csv,SMD,MA14,Thany et al,0.1494463932200372,-0.23607219737444507,-0.2347446577585093,0.35205455753413295,0.3487704355638105,1.673,1.678,5.69117454033307e-4,5.941177844463207e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14933375835388318,-0.23607219737444507,-0.2347446577585093,0.35249591109606104,0.34920777980111795,1.67,1.678,5.658444364527375e-4,5.907216740880806e-4
MA14_02.csv,SMD,MA14,Thany et al,0.1499677453569025,-0.23607219737444507,-0.2347446577585093,0.350022951760817,0.3467573317369208,1.679,1.688,5.844470018915098e-4,6.100223112559031e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14962014234307616,-0.23607219737444507,-0.2347446577585093,0.35137543360570456,0.3480974879590716,1.665,1.677,5.741933657123331e-4,5.993843625270298e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15118057538062363,-0.23607219737444507,-0.2347446577585093,0.34536775524402186,0.34214481651069717,1.685,1.683,6.212667964916958e-4,6.482130953940272e-4
MA14_02.csv,SMD,MA14,Thany et al,0.1504745274515589,-0.23607219737444507,-0.2347446577585093,0.3480657811844444,0.3448180571856092,1.672,1.683,5.996337353631251e-4,6.257762131607419e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15079716290337888,-0.23607219737444507,-0.2347446577585093,0.3468287680416803,0.34359239130353325,1.683,1.691,6.094501809276835e-4,6.359579969008975e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14917106220179485,-0.23607219737444507,-0.2347446577585093,0.3531349641432229,0.349841034004303,1.663,1.675,5.611409327383486e-4,5.8584107395152e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14951100185133026,-0.23607219737444507,-0.2347446577585093,0.3518017842319845,0.3485199601214318,1.666,1.686,5.710011020209709e-4,5.960722204467993e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14917865097085384,-0.23607219737444507,-0.2347446577585093,0.35310511581339443,0.34981145635270594,1.671,1.671,5.61359686658466e-4,5.860680697957351e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14920269017392815,-0.23607219737444507,-0.2347446577585093,0.353010590394253,0.34971778824244226,1.665,1.682,5.620530509983931e-4,5.867875543234463e-4
MA14_02.csv,SMD,MA14,Thany et al,0.1497464843565855,-0.23607219737444507,-0.2347446577585093,0.35088290113496623,0.3476094401897526,1.67,1.675,5.779049533946565e-4,6.032351925895777e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15163314847227838,-0.23607219737444507,-0.2347446577585093,0.34365572204269335,0.3404485794782258,1.688,1.694,6.354275608939389e-4,6.628974998556444e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14930168636709815,-0.23607219737444507,-0.2347446577585093,0.3526217425384689,0.34933246883369307,1.669,1.68,5.649149800675908e-4,5.897572410466722e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14908887873583138,-0.23607219737444507,-0.2347446577585093,0.3534584641229248,0.3501616014030401,1.658,1.668,5.587758874961667e-4,5.833868878685393e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14920234936595209,-0.23607219737444507,-0.2347446577585093,0.3530119302198267,0.34971911591515636,1.676,1.666,5.620432166941312e-4,5.867773495816305e-4
MA14_02.csv,SMD,MA14,Thany et al,0.14909570938178057,-0.23607219737444507,-0.2347446577585093,0.35343155882275556,0.35013493992957534,1.658,1.669,5.589721800614715e-4,5.835905812455863e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15016857649449536,-0.23607219737444507,-0.2347446577585093,0.34924527777478165,0.3459867602343558,1.672,1.683,5.904314607271176e-4,6.162305555424965e-4
MA14_02.csv,SMD,MA14,Thany et al,0.15015506004194235,-0.23607219737444507,-0.2347446577585093,0.3492975316509397,0.34603853652787575,1.672,1.679,5.900272996565209e-4,6.158112929572357e-4
MA14_02.csv,SMD,MA14,Piiroinen & Goulson,0.2761210410798758,-0.23607219737444507,-0.23689304440927267,0.1370181822367491,0.1376408319157263,2.879,2.875,0.017803808337447075,0.017560008880534193
MA14_02.csv,SMD,MA14,Piiroinen & Goulson,0.25462388639052175,-0.23607219737444507,-0.23689304440927267,0.1527873527750343,0.15352324366567338,2.671,2.648,0.01272372015302401,0.01253358657700594
MA14_02.csv,SMD,MA14,Stanley et al,0.24086303344565535,-0.23607219737444507,-0.23848752139399215,0.16521969880015042,0.16765484199095537,2.55,2.52,0.009930238267013504,0.009473915672656583
MA14_02.csv,SMD,MA14,Stanley et al,0.23914711085359217,-0.23607219737444507,-0.23848752139399215,0.1669247491361966,0.16939571140837484,2.542,2.511,0.009608014146051332,0.009163182002324913
MA14_02.csv,SMD,MA14,Stanley et al,0.23764760388236933,-0.23607219737444507,-0.23848752139399215,0.16844553287236574,0.17094841506872327,2.535,2.478,0.009331229998032816,0.008896360894531488
MA14_02.csv,SMD,MA14,Stanley et al,0.2577505632622565,-0.23607219737444507,-0.23848752139399215,0.15024116320029834,0.15236035330354747,2.705,2.669,0.013409472147096042,0.012835665896443346
MA14_02.csv,SMD,MA14,Stanley et al,0.24922113973054924,-0.23607219737444507,-0.23848752139399215,0.15741935294326947,0.15969022948228684,2.61,2.583,0.011582930124671152,0.01106938061014409
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28536755309155576,-0.23607219737444507,-0.22401284959984477,0.1313266956815755,0.12302998499699125,2.955,3.101,0.02024046771665294,0.024594808312908698
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2977030314024854,-0.23607219737444507,-0.22401284959984477,0.1245612903000004,0.11696068722144826,3.079,3.211,0.02370809355228897,0.028552719905753247
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28426803632198416,-0.23607219737444507,-0.22401284959984477,0.13197385910343884,0.1236105836739616,2.946,3.096,0.01994321159654251,0.024253746718012264
MA14_02.csv,SMD,MA14,Williamson & Wright,0.29301588173348364,-0.23607219737444507,-0.22401284959984477,0.1270291663219193,0.11917459526872776,3.012,3.211,0.022362342879377925,0.02702106291274874
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28616100439118547,-0.23607219737444507,-0.22401284959984477,0.13086441137559268,0.12261525251818584,2.986,3.131,0.02045621195836024,0.024842161286757244
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2841816580959706,-0.23607219737444507,-0.22401284959984477,0.13202502615875167,0.12365648810095409,2.966,3.107,0.019919943574837232,0.02422703722684912
MA14_02.csv,SMD,MA14,Williamson & Wright,0.284317015761375,-0.23607219737444507,-0.22401284959984477,0.13194486680513118,0.12358457330276829,2.944,3.116,0.019956410848007547,0.024268897398100606
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2828443906893475,-0.23607219737444507,-0.22401284959984477,0.1328232984714236,0.12437266091258903,2.954,3.09,0.019561297080004356,0.023815111809402413
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28847864491968356,-0.23607219737444507,-0.22401284959984477,0.12953636864983786,0.12142382901794413,3.012,3.137,0.021092260708230975,0.025570510213698477
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28608367586079375,-0.23607219737444507,-0.22401284959984477,0.13090929190065115,0.12265551640210615,2.97,3.124,0.02043514055960004,0.024818009502794877
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28319702366220056,-0.23607219737444507,-0.22401284959984477,0.1326116734146563,0.12418279994594816,2.942,3.086,0.01965558250625731,0.023923446481601187
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28645331753516,-0.23607219737444507,-0.22401284959984477,0.130695092235122,0.12246335061810243,2.99,3.147,0.020535953110059717,0.024933546393223868
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2888771228065458,-0.23607219737444507,-0.22401284959984477,0.12931132322339967,0.121221936413618,3.029,3.129,0.021202492367237664,0.02569660541286291
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28622462216637007,-0.23607219737444507,-0.22401284959984477,0.13082751630052003,0.12258215267697392,2.974,3.125,0.020473554608986443,0.024862038125856665
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28293869271580036,-0.23607219737444507,-0.22401284959984477,0.13276662586875176,0.12432181661496078,2.945,3.094,0.019586490843069425,0.023844062628079823
MA14_02.csv,SMD,MA14,Williamson & Wright,0.30523632612671325,-0.23607219737444507,-0.22401284959984477,0.12083586573704952,0.1136186954205215,3.141,3.334,0.025939938838551294,0.031081611584676858
MA14_02.csv,SMD,MA14,Williamson & Wright,0.285137257414395,-0.23607219737444507,-0.22401284959984477,0.13146161140484802,0.12315102339070172,2.97,3.132,0.020178042171732854,0.02452320792729193
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2875354760655,-0.23607219737444507,-0.22401284959984477,0.1300728549981478,0.12190512335911008,2.967,3.127,0.020832369173493237,0.02527306317044452
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28284873008678396,-0.23607219737444507,-0.22401284959984477,0.13282068935515412,0.12437032012125693,2.932,3.105,0.019562456069584885,0.02381644368292121
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2843115747961724,-0.23607219737444507,-0.22401284959984477,0.13194808670771618,0.12358746203016824,2.978,3.123,0.01995494439075292,0.02426721416318278
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2865527539317612,-0.23607219737444507,-0.22401284959984477,0.13063761560190235,0.1224117864687776,2.956,3.155,0.02056311048194004,0.024964664563553868
MA14_02.csv,SMD,MA14,Williamson & Wright,0.291471208369506,-0.23607219737444507,-0.22401284959984477,0.1278692880689115,0.1199282700324219,3.046,3.206,0.021926295808784812,0.026523619990906865
MA14_02.csv,SMD,MA14,Williamson & Wright,0.28284399578613834,-0.23607219737444507,-0.22401284959984477,0.1328235359179495,0.12437287393980734,2.932,3.085,0.019561191608692245,0.023814990604935863
MA14_02.csv,SMD,MA14,Williamson & Wright,0.2854858808660113,-0.23607219737444507,-0.22401284959984477,0.1312575047486506,0.1229679110746369,2.983,3.131,0.020272576326492778,0.02463163094667109
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1827354012147146,-0.23607219737444507,-0.2410736518420895,0.25261326474328194,0.26137470031294696,1.967,1.951,0.0022694566002880614,0.0019913312798631754
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18749104536303382,-0.23607219737444507,-0.2410736518420895,0.2423406722250766,0.25068528000183166,2.019,1.993,0.002653381852433926,0.0023364161812885623
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18944846470744,-0.23607219737444507,-0.2410736518420895,0.23832921916570116,0.2465096259099958,2.06,2.003,0.002823046931908255,0.0024892844497318442
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19166039285369604,-0.23607219737444507,-0.2410736518420895,0.23393976169267783,0.24193960564515782,2.055,2.027,0.0030231144509108676,0.0026698095893897037
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19675548051289277,-0.23607219737444507,-0.2410736518420895,0.22437525291263027,0.2319785495662957,2.131,2.099,0.003518286729618756,0.003117735469258084
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19697246436433644,-0.23607219737444507,-0.2410736518420895,0.22398405539157096,0.23157104488902713,2.103,2.089,0.0035404523446320624,0.0031378209322732026
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18325980258994587,-0.23607219737444507,-0.2410736518420895,0.25144242484799684,0.26015662369469905,1.988,1.942,0.002309856227889556,0.002027585813946199
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18358304781915494,-0.23607219737444507,-0.2410736518420895,0.25072553301469425,0.25941077430677995,2.005,1.945,0.0023349954390875,0.0020501528707290084
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18262925866195934,-0.23607219737444507,-0.2410736518420895,0.2528514365229516,0.2616224722447916,1.994,1.938,0.0022613370605750025,0.0019840465594803997
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18414479788897312,-0.23607219737444507,-0.2410736518420895,0.24948835781459744,0.2581235633575689,2.004,1.938,0.0023791143384286994,0.002089770806036089
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1866177574779023,-0.23607219737444507,-0.2410736518420895,0.24417010285787066,0.2525893322706476,2.005,1.968,0.0025798978772249904,0.002270274312717535
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1876576343404517,-0.23607219737444507,-0.2410736518420895,0.24199450665063404,0.2503249758631113,2.035,1.994,0.002667553984958899,0.0023491770741755407
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18257512627708308,-0.23607219737444507,-0.2410736518420895,0.2529730577852686,0.2617489946378445,1.964,1.933,0.0022572035763901814,0.001980338288858049
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18364078227353028,-0.23607219737444507,-0.2410736518420895,0.2505978747211993,0.259277956703465,1.993,1.944,0.0023395045610046512,0.0020542012127389123
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1837459133908573,-0.23607219737444507,-0.2410736518420895,0.25036571501087745,0.25903641210633666,1.976,1.946,0.0023477302506513986,0.002061586782432738
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1969289897099614,-0.23607219737444507,-0.2410736518420895,0.22406233327085545,0.2316525863410468,2.122,2.089,0.003536004147408066,0.003133789952640626
