scenario_label,case,es_type,paper,power_min,power_q1,power_median,power_q3,power_max,power_mean,type_M_min,type_M_q1,type_M_median,type_M_q3,type_M_max,type_M_mean,type_S_min,type_S_q1,type_S_median,type_S_q3,type_S_max,type_S_mean,n_rows
corrected,MA15_01.csv,SMD,MA15,0.05604157169959878,0.05639102103544302,0.05754843558846978,0.06041934360096135,0.06251314376705275,0.05858270313830514,7.186,7.811,9.103,9.969,10.311,8.876,0.17647191754839545,0.19680656986815723,0.23185027080427706,0.24926094467645424,0.2550065362062516,0.22187924782070712,5
corrected,MA15_02.csv,SMD,MA15,0.07515235239434759,0.0786082010050062,0.08362524219055811,0.08574211825759515,0.10314568750609054,0.08439449343175133,3.635,4.319,4.469,4.842,5.042,4.493333333333333,0.04113558574010217,0.06975916560322964,0.07491314461302247,0.08941236352618731,0.10176821257484474,0.07624418159509914,9
corrected,MA15_03.csv,SMD,MA15,0.505371677591238,0.5300162615451441,0.5656107803111776,0.6067454761275746,0.7581535728711873,0.5843625939193325,1.149,1.283,1.323,1.365,1.396,1.3112727272727271,2.5271302167741054e-6,2.296515492884378e-5,3.8950101161633044e-5,6.159930444183079e-5,8.290105501556792e-5,4.149028122944527e-5,11
corrected,MA15_04.csv,SMD,MA15,0.053125719475845656,0.05884988789948742,0.060042227034350915,0.06016887566516049,0.0669942419439894,0.060118472346434235,6.255,7.923500000000001,8.043,8.533000000000001,14.189,8.433363636363636,0.14266836704086658,0.19949512340273856,0.2008779610876742,0.2147728965856926,0.3161086485260803,0.2064496206518,11
corrected,MA17.csv,Zr,MA17,0.05119347888177217,0.05269044268004541,0.05534123457271012,0.058043468956295,0.06583600113387322,0.056541038502849084,6.361,8.93275,11.0015,15.3385,22.912,11.898090909090909,0.1503859330769235,0.22507009292439345,0.26732932559079964,0.328263831791093,0.38293725960297376,0.2651896852265738,66
corrected,MA18.csv,SMD,MA18,0.08559318938219596,0.1491590041612974,0.16655211893172273,0.22098589401567764,0.3459373044718762,0.1884557542213195,1.691,2.142,2.52,2.7065,4.332,2.525086956521739,6.166313135603345e-4,0.0038629479759396896,0.009677340899438912,0.013714793960444796,0.07010567796651537,0.012824187491436535,23
corrected,MA20_cleaned.csv,lnRR,MA20,0.050677071572513555,0.05131791571576971,0.0527822296364695,0.057757237981111875,0.12450805866436021,0.05982005244854039,3.092,9.054,14.913,21.742,30.656,15.830241379310344,0.023738232645637056,0.22894388886241332,0.3256024973991978,0.3772261515060777,0.4111047187109768,0.29122386669564954,29
corrected,MA21.csv,SMD,MA21,0.06162605908919894,0.0666810928067178,0.07132983943346982,0.07743013494915929,0.08210273436932525,0.07186730663780146,4.568,4.9335,5.56,6.3469999999999995,7.456,5.7112727272727275,0.07894704068571926,0.09367197591042806,0.11845877466096558,0.14545970924972068,0.18465121939528145,0.12227916388556302,11
corrected,MA22_01.csv,lnRR,MA22,0.05056165762620546,0.057488803884637174,0.07858036593357792,0.19867658544293187,0.8905311651814186,0.15975684792409425,1.063,2.24525,4.8255,9.18375,33.265,6.641380434782609,1.4681190507476781e-7,0.005401342691032148,0.08968685817986724,0.23271864336564574,0.41888589256533076,0.12579453094003745,92
corrected,MA22_02.csv,lnRR,MA22,0.05022407845269883,0.05298043154160817,0.06130169452395995,0.10792324237947637,0.5218549719071499,0.09631883274040712,1.379,3.45375,7.608499999999999,14.5585,52.241,10.415217391304347,6.753127247315737e-5,0.0361199545024367,0.1879376452436688,0.3200544270989895,0.44848778565777037,0.1870946926238292,92
