analysis,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
B1 correction sensitivity,primary-study,type_M,corrected_error_model,5740,4.473795640811164,4.1220266814669975,4.855584153719705,4.1220266814669975,13.55241036936569,122.36709337979082,NA,0.996,2.394,4.283,19.045250000000003,26350.083,5730,study
B1 correction sensitivity,primary-study,type_S,corrected_error_model,5740,0.043982352987662836,0.03998917632319778,0.04822088527556786,0.03998917632319778,0.111733630749661,0.16776730613087612,NA,0,0.007292055784096195,0.06741291785829007,0.3595613903563208,0.4998962001815142,0,study
B1 correction sensitivity,meta-analysis,power,corrected_variance_model,48,0.39835662402407546,0.3032360918604898,0.5233150148131654,0.3032360918604898,0.6937278952170108,0.4433608043235465,0.5403261128011121,0.05000003450386037,0.11390920448712366,0.32441181654663087,0.7971949901675974,1,7,NA
B1 correction sensitivity,meta-analysis,type_M,corrected_variance_model,48,2.1461476311905763,1.4593624485418075,3.1561382571322008,1.4593624485418075,5.978527549699938,92.97039583333331,35.14750261324041,0.998,1.13075,1.7415,3.3337499999999998,4239.257,46,NA
B1 correction sensitivity,meta-analysis,type_S,corrected_variance_model,48,0.011751317821954092,0.0032325139850773385,0.02284056291849139,0.0032325139850773385,0.03238141151096534,0.058141113572268185,0.04927919109869366,9.622871143476194e-146,1.2661152491835971e-6,8.378087583203141e-4,0.03163234280924053,0.4993584751387011,0,NA
B1 correction sensitivity,primary-study,power,corrected_variance_model,5740,0.09055482036268221,0.08737245506940365,0.09385309688738741,0.08737245506940365,0.10983349816013378,0.11446714146278902,NA,0.05000000090330303,0.05595666298758786,0.06851177605809577,0.10722813148735577,1,25,study
B1 correction sensitivity,primary-study,type_M,corrected_variance_model,5740,7.904115101555331,7.237617597804643,8.63198900665674,7.237617597804643,28.23892057366843,161.31761567944233,NA,0.997,3.4850000000000003,5.9345,10.3215,26097.582,5738,study
B1 correction sensitivity,primary-study,type_S,corrected_variance_model,5740,0.10093834418823741,0.09475636730302359,0.10743944262890573,0.09475636730302359,0.17056412179585853,0.1689321875114609,NA,4.616103574364896e-99,0.03677637305990844,0.13342513953099322,0.25644109755719463,0.4998962001815142,0,study
B1 correction sensitivity,meta-analysis,power,corrected_reported,48,0.3903771039959561,0.29635898397792376,0.5142219118136186,0.29635898397792376,0.6941176237899098,0.40608145754710545,0.5337045120758701,0.05000003450386037,0.09341367445794788,0.2613870909145822,0.6611709368538004,1,4,NA
B1 correction sensitivity,meta-analysis,type_M,corrected_reported,48,2.1761260781165612,1.4787108138289853,3.2024684364056024,1.4787108138289853,6.214490116238163,93.93679166666668,35.323571428571434,0.998,1.2305,1.9575,3.9455,4264.118,47,NA
B1 correction sensitivity,meta-analysis,type_S,corrected_reported,48,0.012225245985474795,0.0035094830874761555,0.02360554414218178,0.0035094830874761555,0.03708093217044862,0.07007059553837987,0.05060516858564434,6.031812924633213e-57,1.1168105980575671e-5,0.0021950024574868927,0.05468571892174613,0.4993584751387011,0,NA
B1 correction sensitivity,primary-study,power,corrected_reported,5740,0.08774295651913867,0.08486580350985168,0.09071765187288586,0.08486580350985168,0.1033940998947621,0.1061631333170593,NA,0.05000000090330303,0.05586307825853909,0.06810376475671787,0.1039884319508636,1,6,study
B1 correction sensitivity,primary-study,type_M,corrected_reported,5740,8.123781913774943,7.440706119385387,8.86956580782527,7.440706119385387,28.407059868280516,161.60068885017444,NA,0.999,3.58275,5.9990000000000006,10.4325,26294.047,5740,study
B1 correction sensitivity,primary-study,type_S,corrected_reported,5740,0.10431253331335777,0.09806014870847785,0.11088258625894437,0.09806014870847785,0.17277082181249626,0.17122360721799773,NA,1.6970934270344427e-72,0.040182739175389434,0.13582053996874144,0.25804042041347264,0.4998962001815142,0,study
