paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
MA09,1,1297,meta-analysis,power,uncorrected,47,0.7763948585980257,0.6663689715967359,0.9045874015007949,0.6663689715967359,1.077798158537223,0.7038708989121542,0.8523717935596893,0.0539316785204883,0.34845269652183797,0.9072582284218831,0.9998021454824398,1,15,NA
MA09,1,1297,meta-analysis,type_M,uncorrected,47,1.142947231895845,1.0463934236570374,1.2484103448709483,1.0463934236570374,1.3400441209415686,1.8093191489361702,1.2283799234751296,0.998,1.0025,1.056,1.6755,12.67,45,NA
MA09,1,1297,meta-analysis,type_S,uncorrected,47,7.558043763133751e-4,-7.313175754772999e-4,0.0023340533065206066,0,0.004526008049176678,0.013749178329944378,0.0021002707984410928,7.970070141940813e-93,5.218531961347454e-14,8.660375753074583e-8,6.39995781581219e-4,0.2962281539428636,0,NA
MA09,1,1297,primary-study,power,uncorrected,4443,0.16752516331595152,0.16008014593569114,0.17531643402743163,0.16008014593569114,0.21496958199934144,0.20110466397972013,NA,0.05000645922206981,0.09221768099957184,0.13027133839281535,0.22453801581815191,1,14,study
MA09,1,1297,primary-study,type_M,uncorrected,4443,2.8938236714978127,2.794788795256092,2.9963679029827137,2.794788795256092,3.4757699901334247,3.9739221246905245,NA,0.998,2.1135,2.983,4.016500000000001,309.051,4440,study
MA09,1,1297,primary-study,type_S,uncorrected,4443,0.02725255925570491,0.025177403546111823,0.029413535890948327,0.025177403546111823,0.04366875130199844,0.051306505715955554,NA,7.876128335706298e-43,0.0035091117524772312,0.02073723736809415,0.05668699509099901,0.49122343371856075,0,study
MA09,1,1297,meta-analysis,power,corrected,47,0.3805950253088695,0.27737675618023644,0.522223185838021,0.27737675618023644,0.6831054624674795,0.4056612260667408,0.5651945437914361,0.05000003450386037,0.09275773247498836,0.2329969458894059,0.6691577897608909,1,4,NA
MA09,1,1297,meta-analysis,type_M,corrected,47,2.4190376940732565,1.558136596273215,3.755603571178281,1.558136596273215,7.027305514913353,94.97397872340424,44.89720391627279,0.995,1.226,2.065,4.015000000000001,4219.611,45,NA
MA09,1,1297,meta-analysis,type_S,corrected,47,0.01670486973758937,0.005947373981762805,0.031201736562664714,0.005947373981762805,0.04496601091415484,0.0715567265003088,0.06531288826841003,6.031812924633213e-57,1.0054456768087677e-5,0.0030681832905753233,0.05581118272743063,0.4993584751387011,0,NA
MA09,1,1297,primary-study,power,corrected,4443,0.08809901850000261,0.08504575036223548,0.09126190347672286,0.08504575036223548,0.10370688289357488,0.10787599626365353,NA,0.05000000090330303,0.057126876990143516,0.06977814444688102,0.10869348174851723,0.9999999994804074,2,study
