case,es_type,paper,k,n_study_id,scenario,has_small_study_effect,has_decline_effect,gate_selects_c2,beta0,beta0_c,beta0_c2,beta0_c3,shrinkage,shrinkage_pct,corrected_toward_zero,se_beta0,se_beta0_c2
MA41_03.csv,Zr,MA41,129,36,2,FALSE,TRUE,TRUE,0.18584626471612667,-0.059005582817953074,-0.059005582817953074,-0.059005582817953074,0.1268406818981736,68.25032619940899,TRUE,0.0743938830795319,0.1249924236281245
MA08.csv,SMD,MA08,531,176,3,TRUE,FALSE,TRUE,0.3359196369889882,-0.49895079812480775,-0.121409316140895,-0.121409316140895,0.21451032084809318,63.85763058416411,TRUE,0.044021597346625585,0.08130217282632993
MA34.csv,Zr,MA34,555,23,1,TRUE,FALSE,TRUE,0.18344269148767187,0.033965128840929566,0.06792939745298551,0.06792939745298551,0.11551329403468635,62.96968993308154,TRUE,0.029696176692393834,0.05469312566809585
MA13_01.csv,SMD,MA13,43,24,1,TRUE,FALSE,TRUE,-1.384663257257386,1.7971823352638725,-0.5168501599308614,-0.5168501599308614,0.8678130973265247,62.67322345545654,TRUE,0.47510100393490606,0.5752966600741919
MA20_cleaned.csv,lnRR,MA20,29,8,3,FALSE,FALSE,TRUE,0.15618598357445485,-0.06717152624620831,0.06088865856102059,0.06088865856102059,0.09529732501343426,61.01528628399963,TRUE,0.11813302494430482,0.11641796060866239
MA24.csv,SMD,MA24,139,54,1,TRUE,FALSE,TRUE,0.40570264732023553,-0.036248543238119824,0.17687127092279167,0.17687127092279167,0.22883137639744386,56.40371782361555,TRUE,0.07514051802349016,0.14578947676997844
MA06_01.csv,SMD,MA06,33,9,1,FALSE,FALSE,TRUE,0.4768783513958681,-0.41921355180281944,-0.21643106922967614,-0.21643106922967614,0.26044728216619195,54.61503576411848,TRUE,0.3274709092381255,0.7970928021787914
MA18.csv,SMD,MA18,23,23,1,FALSE,FALSE,TRUE,1.1628671993528081,-0.10426664604229756,0.5382261059102695,0.5382261059102695,0.6246410934425386,53.71560000919982,TRUE,0.16735016199267433,0.6225385723465219
MA41_02.csv,Zr,MA41,184,27,1,FALSE,FALSE,TRUE,0.1607852566099663,-0.16722506220257782,-0.07534470339803352,-0.07534470339803352,0.08544055321193277,53.13954464070976,TRUE,0.09617534534788813,0.15689730121026962
MA43.csv,Zr,MA43,13,8,3,FALSE,FALSE,TRUE,0.08173653449350099,-0.1111191086685107,0.04881817145103004,0.04881817145103004,0.03291836304247095,40.27374447235507,TRUE,0.08404385229021741,0.0765752771467921
MA41_01.csv,Zr,MA41,110,24,1,TRUE,FALSE,TRUE,0.20862061601753856,-0.4225839731273877,-0.1309901103404929,-0.1309901103404929,0.07763050567704566,37.21132990543913,TRUE,0.06352594507633753,0.11944594866164472
MA17.csv,Zr,MA17,66,22,1,FALSE,FALSE,TRUE,0.07359859190408709,-0.11741411116013852,-0.05101777113436367,-0.05101777113436367,0.02258082076972342,30.681049984149844,TRUE,0.04475894647980437,0.08973414508252797
MA45_01.csv,Zr,MA45,28,25,1,TRUE,TRUE,TRUE,0.6550095383508181,0.38823133418537376,0.49366752420765586,0.49366752420765586,0.16134201414316224,24.632009871091178,TRUE,0.03551654778484713,0.0509104265214703
MA14_01.csv,SMD,MA14,104,20,2,FALSE,FALSE,TRUE,-0.2735896277052463,-0.2513902545652648,-0.2513902545652648,-0.2513902545652648,0.022199373139981493,8.1141135817832,TRUE,0.06417018668242591,0.09676146302362292
MA13_02.csv,SMD,MA13,37,20,1,FALSE,FALSE,TRUE,-0.379111087425584,0.7824896724245397,0.3714883561877102,0.3714883561877102,0.0076227312378738254,2.010685387662292,TRUE,0.2538934343668182,0.593288891828895
MA47_2.csv,Zr,MA47,38,26,3,FALSE,FALSE,TRUE,0.32194966265729363,0.28054055493352764,0.31697858256479317,0.31697858256479317,0.004971080092500468,1.5440550710537737,TRUE,0.07460581772359097,0.09300932455353997
MA31.csv,SMD,MA31,734,212,3,TRUE,FALSE,TRUE,0.3279277286373822,-0.38234465452514493,0.32445799014650084,0.32445799014650084,0.0034697384908813356,1.0580802377703535,TRUE,0.04600530787934395,0.0686166573127309
MA22_01.csv,lnRR,MA22,92,30,3,FALSE,FALSE,FALSE,-0.05465569682344966,-0.019549204412859403,-0.06684511192238451,-0.05465569682344966,0,0,FALSE,0.03890615105670374,0.04260822179726194
MA22_02.csv,lnRR,MA22,92,30,4,FALSE,FALSE,FALSE,0.03452585079677678,0.03452585079677678,0.03452585079677678,0.03452585079677678,0,0,FALSE,0.02810151050298772,0.02810151050298772
MA22_03.csv,lnRR,MA22,92,30,3,FALSE,FALSE,FALSE,-0.04580320918496699,-0.011983305919066095,-0.05005390435084059,-0.04580320918496699,0,0,FALSE,0.037297913843469976,0.038280831881520636
