paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA09,1,1297,meta-analysis,power,uncorrected,0.7763948585980257,0.8220737046105893,-0.045678846012563556,-5.556539000867488
MA31,1,734,meta-analysis,power,uncorrected,0.7987937069974068,0.8220737046105893,-0.023279997613182446,-2.831862579062794
MA41,4,527,meta-analysis,power,uncorrected,0.8438374218951333,0.8220737046105893,0.02176371728454407,2.6474167903051127
MA34,1,555,meta-analysis,power,uncorrected,0.8050139719941725,0.8220737046105893,-0.0170597326164168,-2.075207188934214
MA08,1,531,meta-analysis,power,uncorrected,0.8058177859077919,0.8220737046105893,-0.01625591870279741,-1.977428375536927
MA39,2,52,meta-analysis,power,uncorrected,0.8364998779942374,0.8220737046105893,0.014426173383648155,1.7548515787257468
MA26,1,459,meta-analysis,power,uncorrected,0.8101536004054742,0.8220737046105893,-0.011920104205115023,-1.450004316919673
MA14,2,271,meta-analysis,power,uncorrected,0.8143072828104463,0.8220737046105893,-0.007766421800142975,-0.9447354606509251
MA17,1,66,meta-analysis,power,uncorrected,0.8295802772124693,0.8220737046105893,0.007506572601880035,0.913126470264114
MA28,2,168,meta-analysis,power,uncorrected,0.8172317896292696,0.8220737046105893,-0.004841914981319695,-0.5889879403956022
MA05,3,37,meta-analysis,power,uncorrected,0.8268887311076095,0.8220737046105893,0.004815026497020258,0.5857171285269525
MA20,1,29,meta-analysis,power,uncorrected,0.8268561357215736,0.8220737046105893,0.004782431110984309,0.5817521086201927
MA13,3,94,meta-analysis,power,uncorrected,0.8268286395525729,0.8220737046105893,0.004754934941983646,0.5784073758004382
MA06,2,46,meta-analysis,power,uncorrected,0.826635259254163,0.8220737046105893,0.004561554643573773,0.5548839012840867
MA15,4,36,meta-analysis,power,uncorrected,0.8263557357832803,0.8220737046105893,0.004282031172690992,0.5208816616655287
MA47,2,103,meta-analysis,power,uncorrected,0.8261410362473731,0.8220737046105893,0.004067331636783855,0.49476483847765707
MA24,1,139,meta-analysis,power,uncorrected,0.8180921790643514,0.8220737046105893,-0.003981525546237874,-0.4843270772325603
MA21,1,11,meta-analysis,power,uncorrected,0.8251420913163862,0.8220737046105893,0.0030683867057968994,0.3732495868178143
