case,es_type,study_ID,sei,power_base,power_opt,type_M_base,type_M_opt,type_S_base,type_S_opt,power_change_pp
MA26.csv,SMD,Rygula2013,0.6738973579114256,0.06296936384337415,0.07969544988119415,7.103,4.746,0.17248817493861818,0.08596015054207869,1.6726086037819998
MA26.csv,SMD,Rygula2013,0.5886681425047563,0.06703438573045617,0.08908816428927846,6.209,4.149,0.14241167546750375,0.06254982112929676,2.205377855882229
MA26.csv,SMD,Rygula2013,0.6419303521411026,0.06430372977098509,0.08277502992571395,6.754,4.531,0.16161430687372372,0.07712992620780051,1.8471300154728865
MA26.csv,SMD,Rygula2013,0.6721106270548026,0.06303891223994251,0.07985586735817463,7.083,4.725,0.17189339233991927,0.08546655588659047,1.6816955118232113
MA26.csv,SMD,Rygula2013,0.6689640438767991,0.06316276300806889,0.08014156224002156,7.067,4.709,0.17084219529249028,0.08459718149673401,1.6978799231952668
MA26.csv,SMD,Rygula2013,0.6432474415028792,0.06424475411161579,0.08263884194907145,6.704,4.544,0.162072053190157,0.07749334501272097,1.8394087837455664
MA26.csv,SMD,Schluns2016,0.34891682819835446,0.09923192116535351,0.164091821675595,3.75,2.548,0.04597008072693401,0.010150592175016123,6.485990051024149
MA26.csv,SMD,Schluns2016,0.353574092659516,0.0979171609831807,0.16102509342877336,3.818,2.585,0.047760743435350056,0.010780436521991841,6.310793244559266
MA26.csv,SMD,Schluns2016,0.4605834310958222,0.07798295341538142,0.1145168672574588,4.878,3.309,0.09148566667419761,0.030374678817743334,3.653391384207738
MA26.csv,SMD,Schluns2016,0.35674823615541534,0.09705108938143259,0.1590045325488777,3.813,2.58,0.04899081816052,0.011221470021432919,6.195344316744511
MA26.csv,SMD,Schluns2016,0.3559946024871726,0.0972545778862367,0.15947930210314565,3.813,2.601,0.04869807921294458,0.011115896027077233,6.222472421690894
MA26.csv,SMD,Schluns2016,0.33551381789726636,0.10333327621440758,0.17365220019232397,3.609,2.444,0.040920954121923675,0.008453723242352813,7.031892397791639
MA26.csv,SMD,Schluns2016,0.3350596230523756,0.10348114656662033,0.173996683476632,3.605,2.434,0.04075279600926242,0.008399251035448398,7.051553691001167
MA26.csv,SMD,Schluns2016,0.34027522096091567,0.1018193964701537,0.1701245332984307,3.651,2.48,0.04269584184844158,0.009036754300467291,6.830513682827699
MA26.csv,SMD,Schluns2016,0.3489111032913685,0.0992335705285059,0.1640956683552729,3.737,2.568,0.04596789034354074,0.010149830632168465,6.486209782676699
MA26.csv,SMD,Schluns2016,0.3528967511893528,0.09810507496039667,0.1614634586799104,3.798,2.578,0.047499246610154845,0.010687554810154503,6.3358383719513744
MA26.csv,SMD,Verbeek2014a,0.45614423486436834,0.07853804035495149,0.11580978376665729,4.799,3.245,0.08964172634255524,0.02939281552131401,3.7271743411705804
MA26.csv,SMD,Verbeek2014a,0.4766156344477172,0.07610778000949325,0.11015127438795391,5.019,3.379,0.09812321278622724,0.03401766436838102,3.404349437846066
MA26.csv,SMD,Verbeek2014a,0.556467655843536,0.06908362615433328,0.09383475147598119,5.841,3.95,0.13017181604392236,0.05394385948115866,2.4751125321647915
MA26.csv,SMD,Verbeek2014a,0.45922520510093956,0.0781510523411203,0.1149083775841212,4.863,3.285,0.09092170896284908,0.030072982535604965,3.6757325243000905
MA26.csv,SMD,Verbeek2014a,0.5082873360610118,0.07291857786231659,0.10273506727950843,5.308,3.606,0.11107712688560364,0.04161055807974139,2.981648941719184
MA26.csv,SMD,Verbeek2014a,0.393940984158795,0.08844086897523329,0.1389074011348207,4.192,2.835,0.06386312653716554,0.017076772678429247,5.046653215958741
MA26.csv,SMD,Verbeek2014a,0.40317114480081534,0.08667126895278154,0.1347769931398779,4.326,2.892,0.0676489961209789,0.018717036255254307,4.8105724187096355
MA26.csv,SMD,Verbeek2014a,0.41572070672508005,0.08445524638508961,0.1296058008329365,4.432,3.03,0.0728323293194861,0.02105839691142061,4.515055444784688
MA26.csv,SMD,Verbeek2014a,0.40497472884119573,0.08633981733588991,0.13400343527170744,4.298,2.917,0.06839167712316996,0.019045762172165717,4.766361793581753
MA26.csv,SMD,Verbeek2014a,0.396423211984364,0.08795256133605078,0.13776758538156508,4.236,2.888,0.06487858087629736,0.017510888674623103,4.98150240455143
MA26.csv,SMD,Voegeli2014,0.6178516917513458,0.06544998194430796,0.08542336509457094,6.473,4.353,0.1530992995510943,0.07050367096811228,1.997338315026298
MA26.csv,SMD,Voegeli2014,0.48765540394832085,0.07492427871987595,0.1073977909787619,5.142,3.462,0.10266662046147722,0.03660849205663656,3.247351225888595
MA26.csv,SMD,Voegeli2014,0.567732665081022,0.06832647878150633,0.09208017093512222,6.01,4.036,0.13450516513787802,0.05692877426743915,2.375369215361589
MA26.csv,SMD,Voegeli2014,0.4894947446091735,0.07473495633330318,0.10695746381517912,5.16,3.493,0.10342095708487223,0.03704623546482734,3.222250748187594
MA26.csv,SMD,Voegeli2014,0.6035335525055753,0.06619830064812016,0.08715367938522,6.293,4.224,0.14790530459302872,0.066587469233049,2.095537873709985
MA26.csv,SMD,Wichman2012,0.5163095457184576,0.07220376236670478,0.10107452321665067,5.42,3.699,0.11431372602036409,0.043606167549140436,2.8870760849945887
MA26.csv,SMD,Wichman2012,0.5410476688795545,0.0701987284796638,0.09642050655247159,5.665,3.841,0.12415520452210382,0.049912880386826876,2.622177807280779
MA26.csv,SMD,Wichman2012,0.3855278355709222,0.09016813406794422,0.14293944007343362,4.088,2.815,0.06043839766584133,0.015644511481277178,5.27713060054894
MA26.csv,SMD,Wichman2012,0.41059369698036036,0.08533558524916285,0.13165991111271735,4.372,2.966,0.07071059402484385,0.020086726295439138,4.632432586355451
MA26.csv,SMD,Wichman2012,0.5850436308515802,0.06724807898595297,0.08958279769967714,6.12,4.141,0.14105685676683893,0.06157066401643019,2.2334718713724167
MA26.csv,SMD,Deakin2018,0.8800872445388582,0.05758110589922005,0.06730142750911539,9.165,6.221,0.23139116240275462,0.14072164226604228,0.9720321609895333
MA26.csv,SMD,Deakin2018,0.9946211831647263,0.055929966063465786,0.0635184270657363,10.382,6.914,0.2568953723859032,0.16787905122659294,0.7588461002270508
MA26.csv,SMD,Deakin2018,0.6936659397721644,0.062235695567777194,0.07800384376891867,7.321,4.874,0.1789666811500307,0.09141531559921212,1.5768148201141474
MA26.csv,SMD,Jones2018,0.1822105238453586,0.23639141375312966,0.46337177348585235,2.059,1.457,0.0029094360914216845,1.3950128681882107e-4,22.69803597327227
MA26.csv,SMD,Jones2018,0.18008443297520194,0.24088631680390915,0.47213468438908857,2.04,1.441,0.002713508963850078,1.2515317396346042e-4,23.12483675851794
MA26.csv,SMD,Jones2018,0.1858277670317329,0.2290878495203782,0.44896562739619594,2.087,1.487,0.0032634851632647515,1.6678570956949157e-4,21.987777787581773
MA26.csv,SMD,Jones2018,0.4444095599781805,0.08008773249841339,0.1194206797035603,4.662,3.204,0.08476004563040523,0.026857345769483596,3.9332947205146906
MA26.csv,SMD,Jones2018,0.5688184068751643,0.06825589972885637,0.09191666233502371,5.995,4.014,0.13491995701503356,0.05721806277200942,2.366076260616734
