aggregation,crit_value_method,exclusion_unit,role,verification_status,dropped_source_paper,n_models_dropped,n_models_remaining,n_effect_sizes_dropped,n_effect_sizes_remaining,pct_of_effect_sizes_dropped,metric,effect_estimator,se_source,se_method,spec_role,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,weighting,summary_all_28_papers,abs_change,pct_change,influence_rank
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA12,1,47,70,5670,1.2195121951219512,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8204142941155153,0.7140827429589456,0.9425793027850221,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7045443793620373,0.8846906288945422,47,FALSE,k_effect_sizes,0.8220737046105893,-0.0016594104950740096,-0.20185665661938135,21
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA12,1,47,70,5670,1.2195121951219512,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5629482297349278,0.44373791826916226,0.7141844235395215,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7045443793620373,0.7045443793620374,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006396342724169335,-1.1234572231965667,22
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA13,3,45,94,5646,1.637630662020906,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8268286395525729,0.7183824444399585,0.9516457486893625,0.918593389341217,0.3762976314504807,0.9999121730776179,0.0539316785204883,1,0.7109396247184994,0.8897048674653207,45,FALSE,k_effect_sizes,0.8220737046105893,0.004754934941983646,0.5784073758004382,14
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA13,3,45,94,5646,1.637630662020906,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5655243096087819,0.44168729726593337,0.7240818260750926,0.918593389341217,0.3762976314504807,0.9999121730776179,0.0539316785204883,1,0.7109396247184994,0.7109396247184995,45,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.003820262850315226,-0.670993109465301,27
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA14,2,46,271,5469,4.7212543554006965,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8143072828104463,0.7061624147192191,0.9390139393099665,0.8954155728552393,0.3345302290575166,0.999908108147364,0.0539316785204883,1,0.6976716960006891,0.8802615806104755,46,FALSE,k_effect_sizes,0.8220737046105893,-0.007766421800142975,-0.9447354606509251,9
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA14,2,46,271,5469,4.7212543554006965,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.555704891879987,0.4363158815437261,0.7077622885666156,0.8954155728552393,0.3345302290575166,0.999908108147364,0.0539316785204883,1,0.6976716960006891,0.6976716960006892,46,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.013639680579110136,-2.3956811461639194,10
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA15,4,44,36,5704,0.627177700348432,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8263557357832803,0.7194644163984225,0.949127971443375,0.9129258088815501,0.3623751639861593,0.9998999782868563,0.054894750365632516,1,0.718790900223021,0.8873383533240158,44,FALSE,k_effect_sizes,0.8220737046105893,0.004282031172690992,0.5208816616655287,16
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA15,4,44,36,5704,0.627177700348432,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5901576640223775,0.46994695719285134,0.7411178284561672,0.9129258088815501,0.3623751639861593,0.9998999782868563,0.054894750365632516,1,0.718790900223021,0.718790900223021,44,FALSE,equal_per_meta_analysis,0.5693445724590971,0.020813091563280373,3.655623074333536,4
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA17,1,47,66,5674,1.1498257839721255,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8295802772124693,0.7236805166477832,0.9509768751655745,0.918593389341217,0.35367819499346914,0.9999040432171102,0.0539316785204883,1,0.7171392934148593,0.8916352350355378,47,FALSE,k_effect_sizes,0.8220737046105893,0.007506572601880035,0.913126470264114,10
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA17,1,47,66,5674,1.1498257839721255,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5743830912266,0.45255037141437415,0.7290148375216774,0.918593389341217,0.35367819499346914,0.9999040432171102,0.0539316785204883,1,0.7171392934148593,0.7171392934148594,47,FALSE,equal_per_meta_analysis,0.5693445724590971,0.005038518767502942,0.884968261968444,24
