MA_model,effect_size_type,k,n_study_cluster,effect_estimator,estimator_label,se_source,se_method,role,crit_value_method,assumed_effect,standard_error,power,type_M,type_S
MA41_03.csv,Zr,129,36,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.18584626471612667,0.0743938830795319,0.7047760395539361,1.1960413660445879,5.866271704716133e-6
MA41_04.csv,Zr,104,20,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.24512817572299164,0.07304969491028543,0.918593389341217,1.0488686824468862,5.786376228083103e-8
MA43.csv,Zr,13,8,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.08173653449350099,0.08404385229021741,0.16340011929302722,2.5552998125782387,0.010288665249869513
MA45_01.csv,Zr,28,25,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.6550095383508181,0.03551654778484713,1,1,7.970070141940813e-93
MA45_02.csv,Zr,11,10,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.9856311968197567,0.17386793342332124,0.9998959133566024,1.0000725135138964,1.18474131017072e-14
MA47_1.csv,Zr,65,25,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.09574666360048852,0.05010860887758607,0.480441669298451,1.4340597076834565,1.1291952574642274e-4
MA47_2.csv,Zr,38,26,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.32194966265729363,0.07460581772359097,0.9907480792196136,1.0058242533609612,1.7610230352415257e-10
MA09.csv,lnRR,1297,126,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.0681099550025141,0.03842099506762128,0.4258323371242434,1.5193516371890883,2.2244032771990847e-4
MA20_cleaned.csv,lnRR,29,8,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.06088865856102059,0.11813302494430482,0.08094820991870255,4.6505793844769485,0.08220769041356407
MA22_01.csv,lnRR,92,30,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.05465569682344966,0.03890615105670374,0.28977723593975846,1.840814936167618,0.001321821624398462
MA22_02.csv,lnRR,92,30,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.03452585079677678,0.02810151050298772,0.2329969458894059,2.069093426657648,0.0030681832905753233
MA22_03.csv,lnRR,92,30,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.04580320918496699,0.03729791384346997,0.23282279429855401,2.069951439481248,0.0030765924188361593
