aggregation,role,verification_status,weighting,effect_estimator,se_source,se_method,crit_value_method,spec_role,metric,dropped_MA_model,dropped_k,dropped_pct_of_k,summary_all_48,summary_without,abs_change,pct_change,influence_rank
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA10.csv,32,0.5574912891986062,0.5693445724590971,0.5651738254820038,-0.004170746977093298,-0.7325523380470877,44
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA12.csv,70,1.2195121951219512,0.5693445724590971,0.5629482297349278,-0.006396342724169335,-1.1234572231965667,34
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA13_01.csv,43,0.7491289198606271,0.5693445724590971,0.5647954694268638,-0.004549103032233326,-0.7990070077571798,42
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA13_02.csv,37,0.6445993031358885,0.5693445724590971,0.5763437559263855,0.00699918346728845,1.2293405093962262,12
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA13_03.csv,14,0.24390243902439024,0.5693445724590971,0.5633175384455079,-0.006027034013589172,-1.0585916341588009,35
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA15_01.csv,5,0.08710801393728224,0.5693445724590971,0.5735888929463503,0.004244320487253206,0.7454748306322312,43
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA15_02.csv,9,0.156794425087108,0.5693445724590971,0.5625620110794612,-0.006782561379635843,-1.1912928844374115,18
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA15_03.csv,11,0.1916376306620209,0.5693445724590971,0.5625676265027928,-0.006776945956304292,-1.190306588334289,28
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA15_04.csv,11,0.1916376306620209,0.5693445724590971,0.5986216855905117,0.029277113131414567,5.142248569256003,1
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA21.csv,11,0.1916376306620209,0.5693445724590971,0.5887217544037076,0.019377181944610467,3.403419103640015,3
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA23.csv,24,0.4181184668989547,0.5693445724590971,0.5641931445148618,-0.005151427944235287,-0.9047996930901414,39
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA24.csv,139,2.421602787456446,0.5693445724590971,0.5625655021334139,-0.006779070325683145,-1.190679713763354,26
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA25.csv,43,0.7491289198606271,0.5693445724590971,0.5625998743688636,-0.006744698090233481,-1.1846425550527284,29
