aggregation,weighting,cluster_unit,crit_value_method,kish_effective_papers,largest_paper_weight_share,mean_distinct_papers_per_resample,effect_estimator,spec_role,metric,point_estimate,metric_lower_bound,limit_below_bound,ci_width_log,offset_used,summary_dominated_by_offset,candidate,method,log_ci_lower,log_ci_upper,ci_lower,ci_upper,se_log,df,n_cluster,B,seed,boot_bias_log
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_S,5.830502574538377e-4,0,TRUE,0.10372800974266827,0.025,TRUE,TRUE,model_based,-3.717689250970715,-3.6139612412280466,-7.099687873945333e-4,0.001944899936388543,0.025780663319832683,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_S,5.830502574538377e-4,0,TRUE,0.08467158702310229,0.025,TRUE,TRUE,CR2_paper_cluster,-3.708161039610932,-3.6234894525878296,-4.774221185038924e-4,0.0016893824800232882,0.012451620006334844,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_S,5.830502574538377e-4,0,FALSE,0.056761149132775746,0.025,TRUE,TRUE,bootstrap_paper_percentile,-3.683440572312888,-3.626679423180112,1.3634248425400605e-4,0.0016043797849163155,0.014698615230377804,NA,28,20000,20260815,0.002245134955575434
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_S,5.830502574538377e-4,0,FALSE,0.06242480702390907,0.025,TRUE,TRUE,bootstrap_paper_bca,-3.682470214407715,-3.620045407383806,1.6074557083990346e-4,0.0017814603889775744,0.014698615230377804,NA,28,20000,20260815,0.002245134955575434
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_S,5.830502574538377e-4,0,FALSE,0.050723281320252056,0.025,TRUE,FALSE,bootstrap_model_percentile,-3.6813859025676217,-3.6306626212473696,1.880424616644144e-4,0.0014986200416098154,0.013561197663571369,NA,48,20000,20260815,0.0023393266725948436
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,power,0.3903771039959561,0,FALSE,0.5510834041251921,0,FALSE,TRUE,model_based,-1.2161837757769725,-0.6651003716517804,0.29635898397792376,0.5142219118136186,0.1369668206123373,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,power,0.3903771039959561,0,FALSE,1.645704951740859,0,FALSE,TRUE,CR2_paper_cluster,-1.763494549584806,-0.11778959784394694,0.17144469378834923,0.8888830558524157,0.2420138020565247,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,power,0.3903771039959561,0,FALSE,0.9732529261723231,0,FALSE,TRUE,bootstrap_paper_percentile,-1.5092081064171825,-0.5359551802448594,0.22108498443741256,0.5851101374971209,0.24558375245262468,NA,28,20000,20260815,-0.014941651686686819
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,power,0.3903771039959561,0,FALSE,1.0084994782918886,0,FALSE,TRUE,bootstrap_paper_bca,-1.5768473020860705,-0.5683478237941819,0.20662550018908216,0.5664605586518934,0.24558375245262468,NA,28,20000,20260815,-0.014941651686686819
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,power,0.3903771039959561,0,FALSE,0.96687444103642906,0,FALSE,FALSE,bootstrap_model_percentile,-1.5202481583196792,-0.5533737172832501,0.21865761851171583,0.5750066245565438,0.24437466989370504,NA,48,20000,20260815,-0.019721482894870634
