specification,weighting,metric,dropped_paper,n_models_dropped,n_effect_sizes_dropped,pct_of_effect_sizes,summary_all_28_papers,summary_without,change_pct,influence_rank
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA06,2,46,0.8,1.4619,1.4704,+0.6,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA34,1,555,9.7,1.4619,1.4704,+0.6,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA10,1,32,0.6,1.4619,1.4700,+0.6,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA05,3,37,0.6,1.4619,1.4539,-0.5,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA47,2,103,1.8,1.4619,1.4565,-0.4,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA12,1,70,1.2,1.4619,1.4637,+0.1,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA39,2,52,0.9,0.0049,0.0033,-32.5,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA22,3,276,4.8,0.0049,0.0033,-32.0,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA15,4,36,0.6,0.0049,0.0053,+9.0,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA01,3,52,0.9,0.0049,0.0052,+7.3,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA13,3,94,1.6,0.0049,0.0052,+7.3,5
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA41,4,527,9.2,0.0049,0.0052,+6.1,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA20,1,29,0.5,0.0049,0.0046,-6.0,7
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA09,1,1297,22.6,0.0049,0.0046,-4.9,8
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA28,2,168,2.9,0.0049,0.0051,+4.8,9
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA14,2,271,4.7,0.0049,0.0051,+4.8,10
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA45,2,39,0.7,0.0049,0.0051,+4.8,11
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA06,2,46,0.8,0.0049,0.0051,+4.6,12
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA05,3,37,0.6,0.0049,0.0050,+3.3,13
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA31,1,734,12.8,0.0049,0.0050,+2.3,14
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA08,1,531,9.3,0.0049,0.0050,+2.3,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA18,1,23,0.4,0.0049,0.0050,+2.3,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA24,1,139,2.4,0.0049,0.0050,+2.3,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA32,1,13,0.2,0.0049,0.0050,+2.3,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA25,1,43,0.7,0.0049,0.0050,+2.3,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA23,1,24,0.4,0.0049,0.0050,+2.3,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA26,1,459,8.0,0.0049,0.0050,+2.3,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA34,1,555,9.7,0.0049,0.0050,+2.3,22
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA10,1,32,0.6,0.0049,0.0050,+2.3,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA12,1,70,1.2,0.0049,0.0050,+2.3,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA43,1,13,0.2,0.0049,0.0048,-1.6,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA17,1,66,1.1,0.0049,0.0049,+1.3,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA47,2,103,1.8,0.0049,0.0049,+0.4,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA21,1,11,0.2,0.0049,0.0049,+0.0,28
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA22,3,276,4.8,0.4880,0.5265,+7.9,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA15,4,36,0.6,0.4880,0.4605,-5.6,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA39,2,52,0.9,0.4880,0.5139,+5.3,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA01,3,52,0.9,0.4880,0.4652,-4.7,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA09,1,1297,22.6,0.4880,0.5104,+4.6,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA21,1,11,0.2,0.4880,0.5101,+4.5,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA41,4,527,9.2,0.4880,0.5068,+3.9,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA05,3,37,0.6,0.4880,0.5045,+3.4,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA43,1,13,0.2,0.4880,0.5039,+3.3,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA28,2,168,2.9,0.4880,0.4730,-3.1,10
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA45,2,39,0.7,0.4880,0.4731,-3.0,11
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA14,2,271,4.7,0.4880,0.4731,-3.0,12
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA13,3,94,1.6,0.4880,0.4744,-2.8,13
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA20,1,29,0.5,0.4880,0.5010,+2.7,14
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA47,2,103,1.8,0.4880,0.4968,+1.8,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA34,1,555,9.7,0.4880,0.4806,-1.5,16
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA08,1,531,9.3,0.4880,0.4806,-1.5,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA18,1,23,0.4,0.4880,0.4806,-1.5,18
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA32,1,13,0.2,0.4880,0.4806,-1.5,19
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA24,1,139,2.4,0.4880,0.4806,-1.5,20
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA26,1,459,8.0,0.4880,0.4807,-1.5,21
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA31,1,734,12.8,0.4880,0.4807,-1.5,22
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA23,1,24,0.4,0.4880,0.4808,-1.5,23
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA25,1,43,0.7,0.4880,0.4812,-1.4,24
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA06,2,46,0.8,0.4880,0.4945,+1.3,25
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA10,1,32,0.6,0.4880,0.4829,-1.0,26
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA12,1,70,1.2,0.4880,0.4836,-0.9,27
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA17,1,66,1.1,0.4880,0.4901,+0.4,28
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA41,4,527,9.2,1.5548,1.4871,-4.4,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA15,4,36,0.6,1.5548,1.6120,+3.7,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA22,3,276,4.8,1.5548,1.4987,-3.6,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA09,1,1297,22.6,1.5548,1.4996,-3.5,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA21,1,11,0.2,1.5548,1.5029,-3.3,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA01,3,52,0.9,1.5548,1.6012,+3.0,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA39,2,52,0.9,1.5548,1.5127,-2.7,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA13,3,94,1.6,1.5548,1.5853,+2.0,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA28,2,168,2.9,1.5548,1.5849,+1.9,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA45,2,39,0.7,1.5548,1.5846,+1.9,10
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA14,2,271,4.7,1.5548,1.5846,+1.9,11
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA05,3,37,0.6,1.5548,1.5271,-1.8,12
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA43,1,13,0.2,1.5548,1.5285,-1.7,13
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA20,1,29,0.5,1.5548,1.5352,-1.3,14
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA34,1,555,9.7,1.5548,1.5694,+0.9,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA08,1,531,9.3,1.5548,1.5694,+0.9,16
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA18,1,23,0.4,1.5548,1.5694,+0.9,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA32,1,13,0.2,1.5548,1.5694,+0.9,18
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA24,1,139,2.4,1.5548,1.5693,+0.9,19
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA26,1,459,8.0,1.5548,1.5693,+0.9,20
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA31,1,734,12.8,1.5548,1.5693,+0.9,21
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA23,1,24,0.4,1.5548,1.5691,+0.9,22
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA25,1,43,0.7,1.5548,1.5683,+0.9,23
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA47,2,103,1.8,1.5548,1.5417,-0.8,24
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA10,1,32,0.6,1.5548,1.5654,+0.7,25
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA12,1,70,1.2,1.5548,1.5644,+0.6,26
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA06,2,46,0.8,1.5548,1.5481,-0.4,27
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA17,1,66,1.1,1.5548,1.5545,-0.0,28
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA09,1,1297,22.6,0.0088,0.0074,-15.7,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA21,1,11,0.2,0.0088,0.0075,-14.9,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA41,4,527,9.2,0.0088,0.0076,-13.3,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA15,4,36,0.6,0.0088,0.0097,+10.7,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA01,3,52,0.9,0.0088,0.0095,+7.8,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA13,3,94,1.6,0.0088,0.0095,+7.8,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA39,2,52,0.9,0.0088,0.0082,-6.8,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA05,3,37,0.6,0.0088,0.0083,-5.4,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA28,2,168,2.9,0.0088,0.0092,+5.1,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA45,2,39,0.7,0.0088,0.0092,+5.1,10
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA14,2,271,4.7,0.0088,0.0092,+5.1,11
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA22,3,276,4.8,0.0088,0.0083,-5.0,12
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA43,1,13,0.2,0.0088,0.0084,-4.8,13
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA47,2,103,1.8,0.0088,0.0085,-2.8,14
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA08,1,531,9.3,0.0088,0.0090,+2.5,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA34,1,555,9.7,0.0088,0.0090,+2.5,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA18,1,23,0.4,0.0088,0.0090,+2.5,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA32,1,13,0.2,0.0088,0.0090,+2.5,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA24,1,139,2.4,0.0088,0.0090,+2.5,19
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA26,1,459,8.0,0.0088,0.0090,+2.5,20
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA31,1,734,12.8,0.0088,0.0090,+2.5,21
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA23,1,24,0.4,0.0088,0.0090,+2.5,22
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA25,1,43,0.7,0.0088,0.0090,+2.5,23
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA10,1,32,0.6,0.0088,0.0090,+2.5,24
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA12,1,70,1.2,0.0088,0.0090,+2.5,25
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA17,1,66,1.1,0.0088,0.0090,+2.4,26
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA20,1,29,0.5,0.0088,0.0086,-1.6,27
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA06,2,46,0.8,0.0088,0.0089,+1.0,28
