MA_model,effect_size_type,source_paper,uses_effective_n,k,n_study_cluster,scenario,beta0,se_beta0,ci_lb_beta0,ci_ub_beta0,beta0_se_model,beta0_var_model,se_beta0_var_model,ci_lb_beta0_var_model,ci_ub_beta0_var_model,beta0_c3,gate_selects_var_model,has_small_study_effect,has_decline_effect,rho,FE_VCV_estimate,FE_VCV_estimate_rma,FE_VCV_CRVE_SE_CR2,FE_VCV_CRVE_df_Satterthwaite,FE_VCV_CR2_ci_lb,FE_VCV_CR2_ci_ub,FE_VCV_CR2_pval,FE_VCV_working_SE,FE_VCV_CRVE_SE_CR1,FE_VCV_CRVE_SE_CR0,UWLS_estimate,UWLS_estimate_lm,UWLS_CRVE_SE_CR2_naive_t,UWLS_CR2_df,UWLS_CR2_ci_lb,UWLS_CR2_ci_ub,UWLS_CRVE_SE_CR1,UWLS_CRVE_SE_CR0,crve_cluster_n,crve_df,n_negative_weight,prop_negative_weight,observed_effect_min,observed_effect_max,FE_VCV_within_observed_range,UWLS_within_observed_range,observed_effects_straddle_zero,FE_VCV_ci_includes_zero,UWLS_ci_includes_zero,FE_VCV_ci_includes_zero_CR1,UWLS_ci_includes_zero_CR1,cr2_status,uwls_cr2_status,vcv_max_abs_diff,wrapper_max_abs_diff,reversal_se_model,reversal_var_model,reversal_c3,shrinkage_magnitude,change_in_assumed_effect,t_c3_fixed_se,t_c3_own_se,corrected_ci_includes_zero,uncorrected_ci_includes_zero,ma_power_c3,ma_type_M_c3,ma_type_S_c3,reversal_FE_VCV,reversal_UWLS,crve_variant,crve_verification_status,crve_diagnostic_variant,crve_diagnostic_verification_status,point_estimate_verification_status,R_version,metafor_version,clubSandwich_version
MA05_03.csv,SMD,MA05,FALSE,4,4,3,1.5418440896305954,0.6747686060824811,-0.6055707677180353,3.6892589469792263,-9.799951057189302,-4.170442030170288,4.469555841602233,-23.401388672807798,15.06050461246722,1.5418440896305954,FALSE,FALSE,FALSE,0.5,1.4649616153614824,1.4649616153614824,0.6494461327055177,2.9377065709683454,-0.6268820508130006,3.5568052815359654,0.11123780874322238,0.3010370516934381,0.6507277619695849,0.5635467728134539,1.4649616153614824,1.4649616153614822,0.6494461327055179,3,-0.6018658301479858,3.53178906087095,0.6507277619695849,0.5635467728134539,4,3,0,0,-0.115,3.186,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,5.551115123125783e-17,0,TRUE,TRUE,FALSE,0,0,2.284996776275816,0.34496584096326666,TRUE,TRUE,0.6274328047141381,1.2639459862296092,1.742271644273846e-5,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA06_01.csv,SMD,MA06,FALSE,33,9,1,0.4768783513958681,0.3274709092381255,-0.19015806264446644,1.1439147654362025,-0.41921355180281944,-0.21643106922967614,0.7970928021787914,-1.8443117442353936,1.411449605776041,-0.21643106922967614,TRUE,FALSE,FALSE,0.5,0.4317185414030304,0.43171854140303045,0.2579314373519675,6.450888587811223,-0.1888763660152074,1.0523134488212684,0.14172994430663277,0.11618287787780893,0.2582141274428463,0.24344661401733866,0.2867776140738425,0.28677761407384256,0.32300778694724763,8,-0.4580796783296565,1.0316349064773416,0.3189799120280946,0.30073714514313876,9,8,0,0,-2.321,3.383,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,1.1102230246251565e-16,0,TRUE,TRUE,TRUE,0.26044728216619195,0.6933094206255442,0.6609169337612673,0.27152555968148073,TRUE,TRUE,0.10134903585881716,3.667036808355907,0.04326774792111114,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA06_02.csv,SMD,MA06,FALSE,13,6,1,0.8227067818908614,0.2609280870176003,0.2541933182763868,1.3912202455053362,-0.5610487028611961,-0.07400659041018796,0.47831135096686056,-1.1397506948454925,0.9917375140251167,-0.07400659041018796,TRUE,FALSE,FALSE,0.5,0.6717744862411751,0.6717744862411752,0.18487777401172725,3.28733038242993,0.11146041424377895,1.2320885582385714,0.03083308467849819,0.1469982397357349,0.18256530035573054,0.16665855537089924,0.6516846916320689,0.6516846916320687,0.20071105122022992,5,0.1357405091538758,1.1676288741102616,0.19413145910819662,0.17721696545825172,6,5,0,0,-1.023,1.925,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,1.1102230246251565e-16,0,TRUE,TRUE,TRUE,0.7487001914806735,0.8967133723010494,0.2836283025567731,0.15472472116873398,TRUE,FALSE,0.059265552710052516,8.319220964319745,0.20972255244532492,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA08.csv,SMD,MA08,FALSE,531,176,3,0.3359196369889882,0.044021597346625585,0.2494414086183071,0.4223978653596693,-0.49895079812480775,-0.121409316140895,0.08130217282632993,-0.2811240632664531,0.038305430984663144,-0.121409316140895,TRUE,TRUE,FALSE,0.5,0.23811966554452196,0.23811966554452205,0.033768569952201205,84.06917276115492,0.17096796816629434,0.30527136292274976,4.5989652565627244e-10,0.024646423490341116,0.03368310176466559,0.03358727482293696,0.22593843047518467,0.22593843047518442,0.03305199196300224,175,0.16070660724458713,0.2911702537057817,0.03292884220787349,0.032835161101380045,176,175,20,0.03766478342749529,-2.88,5.62,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,2.220446049250313e-16,0,TRUE,TRUE,TRUE,0.21451032084809318,0.4573289531298832,2.7579489036919616,1.4933096117890745,TRUE,FALSE,0.7875615705188355,1.133586710400818,1.5127482253143698e-6,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA10.csv,SMD,MA10,FALSE,32,32,1,0.48156202247916413,0.17093178929323732,0.132944339799009,0.8301797051593193,-0.5338244186047466,-0.10170890059521101,0.3813945287759163,-0.8817482961949494,0.6783304950045275,-0.10170890059521101,TRUE,FALSE,FALSE,0.5,0.3856950980061035,0.38569509800610347,0.1383073269314048,19.916895368373265,0.09711387754267842,0.6742763184695285,0.01136642942212771,0.06968181924547422,0.13696866552865591,0.13481154385819083,0.3856950980061035,0.3856950980061034,0.1383073269314048,31,0.10361544499435926,0.6677747510178476,0.13696866552865591,0.13481154385819083,32,31,0,0,-2.529,2.841,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,1.1102230246251565e-16,0,TRUE,TRUE,TRUE,0.37985312188395315,0.5832709230743751,0.5950262441863702,0.26667634934786605,TRUE,FALSE,0.09144584850906934,4.0525804286881515,0.05806211033879964,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA12.csv,SMD,MA12,FALSE,70,16,3,0.44106767832673593,0.11559108233824683,0.21046977858876717,0.6716655780647047,-2.0305124068603297,-0.7555042724162083,0.2847731420397317,-1.323760229862151,-0.18724831497026573,0.44106767832673593,FALSE,TRUE,FALSE,0.5,0.2988582460938461,0.29885824609384587,0.14829037970623438,12.580422226199465,-0.022593160778410948,0.6203096529661027,0.06574625871086887,0.09224132732846455,0.14720820758224532,0.14253373409777012,0.3231280300834984,0.3231280300834982,0.12269122230772743,15,0.06161788005151925,0.5846381801154772,0.11563667810500598,0.111964732127859,16,15,13,0.18571428571428572,-1.083333333,2.388888889,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,ok,ok,1.1102230246251565e-16,0,TRUE,TRUE,FALSE,0,0,3.815758702181433,1.5488387534285026,FALSE,FALSE,0.9682585919331121,1.0192969336761295,3.956767601646892e-9,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA13_01.csv,SMD,MA13,FALSE,43,24,1,-1.384663257257386,0.47510100393490606,-2.3434559002890936,-0.4258706142256784,1.7971823352638725,-0.5168501599308614,0.5752966600741919,-1.6795680817322043,0.6458677618704814,-0.5168501599308614,TRUE,TRUE,FALSE,0.5,-0.7058559976175514,-0.7058559976175517,0.25784437662795934,16.180772499474045,-1.251965769024545,-0.15974622621055845,0.014493955741192287,0.08909631683985354,0.2554804533379319,0.2501013150428883,-0.8663723158925489,-0.8663723158925487,0.3148664258638936,23,-1.517723144021337,-0.2150214877637604,0.310116385564923,0.3035868882835546,24,23,5,0.11627906976744186,-20.18390805,2.022988506,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,3.552713678800501e-15,0,TRUE,FALSE,FALSE,0.8678130973265247,0.8678130973265247,1.087874274417815,0.8984063280746439,TRUE,FALSE,0.19273218935917225,2.307183142998837,0.005979643346504744,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA13_02.csv,SMD,MA13,FALSE,37,20,1,-0.379111087425584,0.2538934343668182,-0.8940308385532518,0.13580866370208383,0.7824896724245397,0.3714883561877102,0.593288891828895,-0.8342197366707558,1.5771964490461763,0.3714883561877102,TRUE,FALSE,FALSE,0.5,-0.3607838934200846,-0.3607838934200844,0.15812250834717043,13.504366312150845,-0.7010944029365154,-0.020473383903653386,0.039300765219288145,0.08357252902142104,0.1581985605306744,0.1541928835137296,-0.3789833466959041,-0.3789833466959041,0.17805667299884512,19,-0.7516602463304015,-0.006306447061406706,0.17539138367210644,0.17095037465035062,20,19,2,0.05405405405405406,-3.704485488,2.100263852,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,1.1102230246251565e-16,0,TRUE,TRUE,TRUE,0.0076227312378738254,0.7505994436132942,1.4631664545172685,0.626150870687206,TRUE,TRUE,0.309975440416302,1.7780047146738833,9.98536591534373e-4,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA13_03.csv,SMD,MA13,FALSE,14,9,3,1.0976514123708025,0.313139329336432,0.421155020166595,1.77414780457501,-1.7327000405231325,-0.029895716331059006,0.4934682983062198,-1.1050707757147058,1.045279343052588,-0.029895716331059006,TRUE,TRUE,FALSE,0.5,0.8394222389158493,0.8394222389158492,0.23444636217677636,6.800307286378059,0.2817274161373694,1.397117061694329,0.0094176462255468555,0.15930343812592546,0.23144934546759355,0.21821253557509776,0.8798308499433414,0.8798308499433417,0.2560565415083653,8,0.2893634063789743,1.4702982935077091,0.24963951458492867,0.23536239148682814,9,8,0,0,-0.696629213,3.168539326,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ok,ok,2.220446049250313e-16,0,TRUE,TRUE,TRUE,1.0677556960397436,1.1275471287018615,0.09547097259999403,0.060582850881552144,TRUE,FALSE,0.05104475698962996,24.515598451628403,0.3902164915880232,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA15_01.csv,SMD,MA15,FALSE,5,3,3,-0.5790574364484041,0.3385515056999909,-1.519027107306487,0.3609122344096787,0.011450314728050788,0.10584858895219851,1.5586090165933217,-4.854340917287093,5.066038095191491,0.10584858895219851,TRUE,FALSE,FALSE,0.5,-0.6348814481088605,-0.6348814481088608,0.2993251949484166,1.7676440490929375,-2.0994197604376583,0.8296568642199368,0.18447147785827478,0.20448689691305186,0.295884805813888,0.24158893229550368,-0.7168624485333441,-0.716862448533344,0.23314074611010013,2,-1.7199861161997925,0.28626121913310454,0.23076642094772684,0.18841999369674733,3,2,0,0,-1.36,0.27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,5.551115123125783e-17,0,TRUE,TRUE,TRUE,0.4732088474962056,0.6849060254006026,0.3126513607828901,0.06791221391978956,TRUE,TRUE,0.061271587282247686,7.5601198416717645,0.18809183101559113,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
