aggregation,weighting,se_source,crit_value_method,clustering_unit,metric,scenario,grouping,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,scenario_family,convention_status,verification_status
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,optimistic (95% CI limit farther from zero),SMD,0.009795694180507464,0.008896542132696125,0.010718697463702007,0.006629811749173254,4.479450472787297e-4,0.019828020479494418,4.624386976012431e-27,0.33688705621779724,0.016353066355339587,NA,2835,TRUE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,uncorrected pooled mean,Zr,0.17851003422911507,0.15969444426823162,0.19954252301323783,0.16471513985325126,0.11364665033206256,0.2830564782701578,0.05003030697720823,1,0.24227809955232704,NA,1303,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,uncorrected pooled mean,Zr,2.8726591351104913,2.6208069187894045,3.148713645164511,2.5421748352620823,1.8634668599613198,3.320545016901768,1,143.73200216473163,3.358103727194575,NA,1303,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,uncorrected pooled mean,Zr,0.027635778525889797,0.022305212688163767,0.0335670166898908,0.01002809001998573,0.0014538538566782758,0.031059326464489966,7.876128335706298e-43,0.4809962888657446,0.03815418845050413,NA,1303,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,optimistic (95% CI limit farther from zero),Zr,0.33328494318309193,0.3003751187851826,0.3698004475264025,0.3610208806116503,0.2126284242319746,0.5855230561963913,0.05031826898620806,1,0.41430360667598715,NA,1303,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,optimistic (95% CI limit farther from zero),Zr,1.8187536866112655,1.7042526492452064,1.940947531474916,1.6468689953180273,1.30590302355853,2.1785305498494227,1,44.371769162018644,2.028591925399112,NA,1303,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,optimistic (95% CI limit farther from zero),Zr,0.007842654999344764,0.005764764334260406,0.010060888999067846,5.064141928706155e-4,3.018890756815021e-5,0.004260417344744038,7.181383888207986e-75,0.43870148998162717,0.011190160052906451,NA,1303,TRUE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,power,uncorrected pooled mean,lnRR,0.7689052700351067,0.3616040358144928,1.634979855675784,0.26230269597456435,0.2329969458894059,0.28977723593975846,0.23282279429855401,0.9999121730776179,0.40356236903598014,0.857682764337505,5,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,power,uncorrected pooled mean,lnRR,0.3334578304407307,0.1542967468077448,0.7206511283143774,0.26230269597456435,0.2329969458894059,0.28977723593975846,0.23282279429855401,0.9999121730776179,0.40356236903598014,0.40356236903598014,5,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,type_M,uncorrected pooled mean,lnRR,1.1395413538711963,0.7830781038618451,1.6582694507465083,1.9399634048177143,1.840814936167618,2.069093426657648,1.0000613504845264,2.0699514394812484,1.783976911521751,1.1881932659989662,5,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,type_M,uncorrected pooled mean,lnRR,1.7254966231682458,1.175902986700892,2.531959379504789,1.9399634048177143,1.840814936167618,2.069093426657648,1.0000613504845264,2.0699514394812484,1.783976911521751,1.7839769115217508,5,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,type_S,uncorrected pooled mean,lnRR,4.449401859758263e-4,-8.817664409901844e-4,0.0018446268871138947,0.00196420147823431,0.001321821624398462,0.0030681832905753233,8.49344235505365e-15,0.003076592418836161,0.00188615976241055,4.643500609178065e-4,5,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,type_S,uncorrected pooled mean,lnRR,0.001860892765928615,2.859107664310821e-4,0.003533975574277943,0.00196420147823431,0.001321821624398462,0.0030681832905753233,8.49344235505365e-15,0.003076592418836161,0.00188615976241055,0.0018861597624105502,5,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,power,uncorrected pooled mean,SMD,0.8907165989218998,0.761781674284242,1.0414743310023045,0.9703845432127631,0.5709701463841407,0.9999997425350173,0.0539316785204883,0.9999999999998812,0.7542464136810134,0.9392335901609428,32,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,power,uncorrected pooled mean,SMD,0.5965256937421483,0.4349381195659563,0.8181460471886493,0.9703845432127631,0.5709701463841407,0.9999997425350173,0.0539316785204883,0.9999999999998812,0.7542464136810134,0.7542464136810133,32,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,type_M,uncorrected pooled mean,SMD,1.0713172298426508,0.964044181609514,1.1905269787963049,1.0180348038242062,1.0000001919341686,1.338732976577743,1.0000000000000955,12.687025813993051,1.9550573808028413,1.1679528486654676,32,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,type_M,uncorrected pooled mean,SMD,1.389152504334715,1.0988214181090883,1.7561949999302162,1.0180348038242062,1.0000001919341686,1.338732976577743,1.0000000000000955,12.687025813993051,1.9550573808028413,1.9550573808028413,32,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,type_S,uncorrected pooled mean,SMD,8.566541384005498e-4,-0.0013905322506353839,0.0033177312733303314,3.3286141959320724e-9,2.062893561723935e-19,8.845892072463579e-5,1.2157121939156583e-29,0.2962281539428636,0.01954978637929063,0.002945798123500114,32,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,equal_per_meta_analysis,se_beta0,z_1.96,NA,type_S,uncorrected pooled mean,SMD,0.005766900790968553,-4.5976446447588276e-4,0.013573475911060943,3.3286141959320724e-9,2.062893561723935e-19,8.845892072463579e-5,1.2157121939156583e-29,0.2962281539428636,0.01954978637929063,0.01954978637929063,32,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
meta_analysis_level,k_effect_sizes,se_beta0,z_1.96,NA,power,uncorrected pooled mean,Zr,0.7496064991790343,0.5626399209105222,0.998702514215676,0.9072582284218831,0.4335951488460971,0.995321996288108,0.16340011929302722,1,0.7207406671796849,0.803713699687195,11,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
