obs_ID,study_ID,year,es,var,meta_ID,research_aim
obs_315,21519375,2011,0.351698613,0.135394865,ma31_01,human
obs_316,21519375,2011,-0.213050075,0.134089839,ma31_01,human
obs_317,21519375,2011,-0.270273729,0.134550798,ma31_01,human
obs_318,21519375,2011,-0.258492949,0.134446977,ma31_01,human
obs_319,21519375,2011,0.006967312,0.133334142,ma31_01,human
obs_320,21519375,2011,-0.37383553,0.13566255,ma31_01,human
obs_321,21519375,2011,-0.258492949,0.134446977,ma31_01,human
obs_322,21519375,2011,0.130942377,0.133619098,ma31_01,human
obs_323,21519375,2011,-0.656805089,0.140523215,ma31_01,human
obs_324,21519375,2011,-0.041723709,0.133362348,ma31_01,human
obs_325,21519375,2011,-0.562347797,0.138603917,ma31_01,human
obs_326,21519375,2011,-0.218111353,0.134126209,ma31_01,human
obs_327,21519375,2011,0.31973812,0.135037208,ma31_01,human
obs_328,21519375,2011,-0.644395064,0.140254083,ma31_01,human
obs_329,21519375,2011,-0.136429844,0.133643552,ma31_01,human
obs_330,21519375,2011,-0.608655198,0.139507686,ma31_01,human
obs_331,21519375,2011,0.22127338,0.134149365,ma31_01,human
obs_332,21519375,2011,-0.210388368,0.134071054,ma31_01,human
obs_333,21521421,2011,-1.342633081,0.175047564,ma31_01,human
obs_334,21521421,2011,0.063755048,0.142929727,ma31_01,human
obs_335,21596067,2011,0.272130227,0.118736101,ma31_01,human
obs_336,21596067,2011,-0.147731339,0.159227688,ma31_01,human
obs_337,21596067,2011,0.088672428,0.117762688,ma31_01,human
obs_338,21596067,2011,0.016987813,0.158828874,ma31_01,human
obs_339,21819999,2012,0.916585114,0.184169339,ma31_01,human
obs_340,21819999,2012,0.732288228,0.177838459,ma31_01,human
obs_341,21819999,2012,-0.431693595,0.170549153,ma31_01,human
obs_342,21819999,2012,0.151394743,0.167144174,ma31_01,human
obs_343,21862224,2012,1.108918845,0.279024819,ma31_01,human
obs_344,21862224,2012,0.717839506,0.157894122,ma31_01,human
obs_345,21940453,2011,-0.269633269,0.134545035,ma31_01,human
obs_346,21940453,2011,0.831119667,0.144845998,ma31_01,human
obs_347,21945413,2012,-0.376867742,0.203550732,ma31_01,human
obs_348,21945413,2012,-0.978256802,0.309677323,ma31_01,human
obs_349,21959103,2011,1.759962601,0.507460683,ma31_01,human
obs_350,21959103,2011,1.217801451,0.434077593,ma31_01,human
obs_351,21979429,2012,-7.698857253,1.868677861,ma31_01,human
obs_352,21979429,2012,-0.494067727,0.229002859,ma31_01,human
obs_353,22108759,2012,-0.320196892,0.239126583,ma31_01,human
obs_354,22108759,2012,0.15811416,0.236846408,ma31_01,human
obs_355,22155491,2012,0.264322332,0.168122214,ma31_01,human
obs_356,22178986,2012,-0.349556418,0.214326629,ma31_01,human
obs_357,22178986,2012,0.91352791,0.233072512,ma31_01,human
obs_358,22178986,2012,-0.173203475,0.21190057,ma31_01,human
obs_359,22178986,2012,-0.144963555,0.211664122,ma31_01,human
obs_360,22178986,2012,0.92371769,0.233565173,ma31_01,human
obs_361,22178986,2012,1.399244864,0.262634432,ma31_01,human
obs_362,22245561,2012,1.276736892,0.240751427,ma31_01,human
obs_363,22245561,2012,1.16442148,0.233896935,ma31_01,human
obs_364,22306746,2012,1.175796447,0.142270458,ma31_01,human
obs_365,22371048,2013,-1.143973062,0.332452656,ma31_01,human
obs_366,22371048,2013,1.41189355,0.263570148,ma31_01,human
obs_367,22476924,2012,0.613221487,0.190364559,ma31_01,human
obs_368,22476924,2012,0.770760883,0.195319826,ma31_01,human
obs_369,22476924,2012,-0.102415692,0.182056568,ma31_01,human
obs_370,22476924,2012,-0.392036203,0.185311191,ma31_01,human
obs_371,22476924,2012,-0.199906833,0.182726426,ma31_01,human
obs_372,22476924,2012,0.102189421,0.182055515,ma31_01,human
obs_373,22488044,2013,1.442221416,0.504000131,ma31_01,human
obs_374,22488044,2013,2.400215261,0.688051665,ma31_01,human
obs_375,22488044,2013,-0.422296806,0.292083378,ma31_01,human
obs_376,22488044,2013,-0.598100978,0.298490171,ma31_01,human
obs_377,22488044,2013,-0.628295885,0.419737786,ma31_01,human
obs_378,22522466,2012,0.265533116,0.201762696,ma31_01,human
obs_379,22543011,2012,2.0546724,0.25938021,ma31_01,human
obs_380,22543011,2012,-0.55070747,0.143324182,ma31_01,human
obs_381,22543011,2012,-0.153395568,0.171918784,ma31_01,human
obs_382,22543011,2012,0.401426564,0.140873571,ma31_01,human
obs_383,22543011,2012,0.278337385,0.173042565,ma31_01,human
obs_384,22543011,2012,-0.077829628,0.138199677,ma31_01,human
obs_385,22543011,2012,0.833107217,0.185888314,ma31_01,human
obs_386,22543011,2012,-0.021045305,0.138102874,ma31_01,human
obs_387,22610052,2012,0.503165646,0.187572174,ma31_01,human
obs_388,22610052,2012,-0.034122022,0.181844643,ma31_01,human
obs_389,22610052,2012,-0.335071363,0.184369837,ma31_01,human
obs_390,22610052,2012,-0.4814715,0.1870867,ma31_01,human
obs_391,22610052,2012,-0.151682594,0.182341082,ma31_01,human
