"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Uncorrected pooled mean,By effect-size count,Type S error,MA41_04,104,1.8,0.00058,0.00059,1.9,20
Uncorrected pooled mean,By effect-size count,Type S error,MA28_01,84,1.5,0.00058,0.00059,1.5,21
Uncorrected pooled mean,By effect-size count,Type S error,MA28_02,84,1.5,0.00058,0.00059,1.5,21
Uncorrected pooled mean,By effect-size count,Type S error,MA41_02,184,3.2,0.00058,0.00059,1.3,23
Uncorrected pooled mean,By effect-size count,Type S error,MA12,70,1.2,0.00058,0.00059,1.2,24
Uncorrected pooled mean,By effect-size count,Type S error,MA20_cleaned,29,0.5,0.00058,0.00058,-1.2,25
Uncorrected pooled mean,By effect-size count,Type S error,MA47_1,65,1.1,0.00058,0.00059,0.9,26
Uncorrected pooled mean,By effect-size count,Type S error,MA25,43,0.7,0.00058,0.00059,0.8,27
Uncorrected pooled mean,By effect-size count,Type S error,MA13_01,43,0.7,0.00058,0.00059,0.8,28
Uncorrected pooled mean,By effect-size count,Type S error,MA47_2,38,0.7,0.00058,0.00059,0.7,29
Uncorrected pooled mean,By effect-size count,Type S error,MA10,32,0.6,0.00058,0.00059,0.6,30
Uncorrected pooled mean,By effect-size count,Type S error,MA45_01,28,0.5,0.00058,0.00059,0.5,31
Uncorrected pooled mean,By effect-size count,Type S error,MA06_01,33,0.6,0.00058,0.00058,-0.4,32
Uncorrected pooled mean,By effect-size count,Type S error,MA23,24,0.4,0.00058,0.00059,0.4,33
Uncorrected pooled mean,By effect-size count,Type S error,MA18,23,0.4,0.00058,0.00059,0.4,34
Uncorrected pooled mean,By effect-size count,Type S error,MA01_01,22,0.4,0.00058,0.00059,0.4,35
Uncorrected pooled mean,By effect-size count,Type S error,MA17,66,1.1,0.00058,0.00059,0.3,36
Uncorrected pooled mean,By effect-size count,Type S error,MA13_02,37,0.6,0.00058,0.00058,-0.3,37
Uncorrected pooled mean,By effect-size count,Type S error,MA01_03,16,0.3,0.00058,0.00058,0.3,38
Uncorrected pooled mean,By effect-size count,Type S error,MA05_02,16,0.3,0.00058,0.00058,0.3,39
Uncorrected pooled mean,By effect-size count,Type S error,MA01_02,14,0.2,0.00058,0.00058,0.2,40
Uncorrected pooled mean,By effect-size count,Type S error,MA13_03,14,0.2,0.00058,0.00058,0.2,41
Uncorrected pooled mean,By effect-size count,Type S error,MA32,13,0.2,0.00058,0.00058,0.2,42
Uncorrected pooled mean,By effect-size count,Type S error,MA06_02,13,0.2,0.00058,0.00058,0.2,43
Uncorrected pooled mean,By effect-size count,Type S error,MA45_02,11,0.2,0.00058,0.00058,0.2,44
Uncorrected pooled mean,By effect-size count,Type S error,MA15_03,11,0.2,0.00058,0.00058,0.2,45
Uncorrected pooled mean,By effect-size count,Type S error,MA15_02,9,0.2,0.00058,0.00058,0.2,46
Uncorrected pooled mean,By effect-size count,Type S error,MA05_03,4,0.1,0.00058,0.00058,0.1,47
Uncorrected pooled mean,By effect-size count,Type S error,MA15_01,5,0.1,0.00058,0.00058,0,48
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA26,459,8,0.3904,0.4666,19.5,1
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA31,734,12.8,0.3904,0.3401,-12.9,2
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA08,531,9.3,0.3904,0.3634,-6.9,3
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA34,555,9.7,0.3904,0.371,-5,4
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA41_02,184,3.2,0.3904,0.4056,3.9,5
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA14_02,167,2.9,0.3904,0.3795,-2.8,6
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA41_03,129,2.2,0.3904,0.4008,2.7,7
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA09,1297,22.6,0.3904,0.3806,-2.5,8
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA47_1,65,1.1,0.3904,0.3994,2.3,9
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA14_01,104,1.8,0.3904,0.3838,-1.7,10
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA41_04,104,1.8,0.3904,0.3843,-1.6,11
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA39_1,37,0.6,0.3904,0.3956,1.3,12
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA24,139,2.4,0.3904,0.3854,-1.3,13
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA12,70,1.2,0.3904,0.386,-1.1,14
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA22_03,92,1.6,0.3904,0.3937,0.8,15
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA22_02,92,1.6,0.3904,0.3937,0.8,16
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA10,32,0.6,0.3904,0.3936,0.8,17
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA20_cleaned,29,0.5,0.3904,0.3935,0.8,18
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA06_01,33,0.6,0.3904,0.3934,0.8,19
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA17,66,1.1,0.3904,0.3933,0.7,20
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA28_01,84,1.5,0.3904,0.3879,-0.6,21
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA41_01,110,1.9,0.3904,0.3879,-0.6,22
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA47_2,38,0.7,0.3904,0.388,-0.6,23
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA23,24,0.4,0.3904,0.3927,0.6,24
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA13_01,43,0.7,0.3904,0.3925,0.5,25
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA39_2,15,0.3,0.3904,0.3924,0.5,26
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA13_03,14,0.2,0.3904,0.3923,0.5,27
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA01_02,14,0.2,0.3904,0.3923,0.5,28
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA22_01,92,1.6,0.3904,0.3923,0.5,29
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA45_01,28,0.5,0.3904,0.3886,-0.5,30
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA25,43,0.7,0.3904,0.3921,0.4,31
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA06_02,13,0.2,0.3904,0.3921,0.4,32
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA15_04,11,0.2,0.3904,0.3919,0.4,33
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA43,13,0.2,0.3904,0.3917,0.3,34
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA18,23,0.4,0.3904,0.3891,-0.3,35
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA05_01,17,0.3,0.3904,0.3915,0.3,36
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA28_02,84,1.5,0.3904,0.3895,-0.2,37
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA21,11,0.2,0.3904,0.3913,0.2,38
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA32,13,0.2,0.3904,0.3895,-0.2,39
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA01_03,16,0.3,0.3904,0.3911,0.2,40
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA15_03,11,0.2,0.3904,0.3897,-0.2,41
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA15_01,5,0.1,0.3904,0.391,0.2,42
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA05_02,16,0.3,0.3904,0.3898,-0.2,43
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA13_02,37,0.6,0.3904,0.391,0.1,44
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA01_01,22,0.4,0.3904,0.3907,0.1,45
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA05_03,4,0.1,0.3904,0.3902,0,46
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA15_02,9,0.2,0.3904,0.3905,0,47
Yang 2023 bias-corrected,By effect-size count,Statistical power,MA45_02,11,0.2,0.3904,0.3904,0,48
Yang 2023 bias-corrected,By effect-size count,Type M error,MA26,459,8,2.1771,1.596,-26.7,1
Yang 2023 bias-corrected,By effect-size count,Type M error,MA31,734,12.8,2.1771,2.4401,12.1,2
Yang 2023 bias-corrected,By effect-size count,Type M error,MA09,1297,22.6,2.1771,2.4181,11.1,3
Yang 2023 bias-corrected,By effect-size count,Type M error,MA08,531,9.3,2.1771,2.3268,6.9,4
Yang 2023 bias-corrected,By effect-size count,Type M error,MA34,555,9.7,2.1771,2.3077,6,5
Yang 2023 bias-corrected,By effect-size count,Type M error,MA39_1,37,0.6,2.1771,2.0726,-4.8,6
Yang 2023 bias-corrected,By effect-size count,Type M error,MA14_02,167,2.9,2.1771,2.2284,2.4,7
Yang 2023 bias-corrected,By effect-size count,Type M error,MA47_1,65,1.1,2.1771,2.1321,-2.1,8
Yang 2023 bias-corrected,By effect-size count,Type M error,MA14_01,104,1.8,2.1771,2.2079,1.4,9
Yang 2023 bias-corrected,By effect-size count,Type M error,MA24,139,2.4,2.1771,2.2077,1.4,10
Yang 2023 bias-corrected,By effect-size count,Type M error,MA41_04,104,1.8,2.1771,2.2066,1.4,11
Yang 2023 bias-corrected,By effect-size count,Type M error,MA41_02,184,3.2,2.1771,2.1512,-1.2,12
Yang 2023 bias-corrected,By effect-size count,Type M error,MA12,70,1.2,2.1771,2.1976,0.9,13
Yang 2023 bias-corrected,By effect-size count,Type M error,MA41_01,110,1.9,2.1771,2.1973,0.9,14
Yang 2023 bias-corrected,By effect-size count,Type M error,MA41_03,129,2.2,2.1771,2.1597,-0.8,15
Yang 2023 bias-corrected,By effect-size count,Type M error,MA28_01,84,1.5,2.1771,2.1941,0.8,16
Yang 2023 bias-corrected,By effect-size count,Type M error,MA13_03,14,0.2,2.1771,2.1642,-0.6,17
Yang 2023 bias-corrected,By effect-size count,Type M error,MA28_02,84,1.5,2.1771,2.1898,0.6,18
Yang 2023 bias-corrected,By effect-size count,Type M error,MA47_2,38,0.7,2.1771,2.1883,0.5,19
Yang 2023 bias-corrected,By effect-size count,Type M error,MA01_02,14,0.2,2.1771,2.1673,-0.5,20
Yang 2023 bias-corrected,By effect-size count,Type M error,MA39_2,15,0.3,2.1771,2.1677,-0.4,21
Yang 2023 bias-corrected,By effect-size count,Type M error,MA20_cleaned,29,0.5,2.1771,2.1687,-0.4,22
Yang 2023 bias-corrected,By effect-size count,Type M error,MA45_01,28,0.5,2.1771,2.1854,0.4,23
Yang 2023 bias-corrected,By effect-size count,Type M error,MA10,32,0.6,2.1771,2.1695,-0.3,24
Yang 2023 bias-corrected,By effect-size count,Type M error,MA15_04,11,0.2,2.1771,2.1697,-0.3,25
Yang 2023 bias-corrected,By effect-size count,Type M error,MA06_02,13,0.2,2.1771,2.1705,-0.3,26
Yang 2023 bias-corrected,By effect-size count,Type M error,MA06_01,33,0.6,2.1771,2.1705,-0.3,27
Yang 2023 bias-corrected,By effect-size count,Type M error,MA18,23,0.4,2.1771,2.1834,0.3,28
Yang 2023 bias-corrected,By effect-size count,Type M error,MA22_01,92,1.6,2.1771,2.183,0.3,29
Yang 2023 bias-corrected,By effect-size count,Type M error,MA23,24,0.4,2.1771,2.1717,-0.2,30
Yang 2023 bias-corrected,By effect-size count,Type M error,MA32,13,0.2,2.1771,2.1809,0.2,31
Yang 2023 bias-corrected,By effect-size count,Type M error,MA05_02,16,0.3,2.1771,2.1806,0.2,32
Yang 2023 bias-corrected,By effect-size count,Type M error,MA15_03,11,0.2,2.1771,2.1803,0.1,33
Yang 2023 bias-corrected,By effect-size count,Type M error,MA43,13,0.2,2.1771,2.1739,-0.1,34
Yang 2023 bias-corrected,By effect-size count,Type M error,MA13_02,37,0.6,2.1771,2.1799,0.1,35
Yang 2023 bias-corrected,By effect-size count,Type M error,MA15_01,5,0.1,2.1771,2.1747,-0.1,36
Yang 2023 bias-corrected,By effect-size count,Type M error,MA22_02,92,1.6,2.1771,2.1789,0.1,37
Yang 2023 bias-corrected,By effect-size count,Type M error,MA22_03,92,1.6,2.1771,2.1789,0.1,38
Yang 2023 bias-corrected,By effect-size count,Type M error,MA01_01,22,0.4,2.1771,2.1787,0.1,39
Yang 2023 bias-corrected,By effect-size count,Type M error,MA21,11,0.2,2.1771,2.1754,-0.1,40
Yang 2023 bias-corrected,By effect-size count,Type M error,MA05_01,17,0.3,2.1771,2.1756,-0.1,41
Yang 2023 bias-corrected,By effect-size count,Type M error,MA45_02,11,0.2,2.1771,2.1783,0.1,42
Yang 2023 bias-corrected,By effect-size count,Type M error,MA13_01,43,0.7,2.1771,2.1761,0,43
Yang 2023 bias-corrected,By effect-size count,Type M error,MA15_02,9,0.2,2.1771,2.1779,0,44
Yang 2023 bias-corrected,By effect-size count,Type M error,MA05_03,4,0.1,2.1771,2.1779,0,45
Yang 2023 bias-corrected,By effect-size count,Type M error,MA17,66,1.1,2.1771,2.1767,0,46
