part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,5740,0.0387,"[0.0366, 0.0410]",0,"0.1060 [0.0187, 0.2531]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Meta-analysis as a random effect,Type S error,5740,0.039,"[0.0235, 0.0594]",0,"0.1060 [0.0187, 0.2531]",
A. Reported results,Meta-analysis level,Uncorrected pooled mean,By effect-size count,Statistical power,48,0.8221,"[0.7172, 0.9423]",0,"0.9129 [0.3624, 0.9999]",
A. Reported results,Meta-analysis level,Uncorrected pooled mean,By effect-size count,Type M error,48,1.1086,"[1.0248, 1.1992]",0,"1.0523 [1.0001, 1.6471]",
A. Reported results,Meta-analysis level,Uncorrected pooled mean,By effect-size count,Type S error,48,0.00058,"[0.0000*, 0.0019]",1,"7.2e-08 [1.1e-14, 0.00053]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,By effect-size count,Statistical power,48,0.3904,"[0.2964, 0.5142]",0,"0.2614 [0.0934, 0.6612]",
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,By effect-size count,Type M error,48,2.1771,"[1.4787, 3.2052]",0,"1.9550 [1.2331, 3.9665]",
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,By effect-size count,Type S error,48,0.0122,"[0.0035, 0.0236]",0,"0.0022 [1.1e-05, 0.0547]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,48,0.4789,"[0.3677, 0.6238]",0,"0.8236 [0.3130, 0.9980]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,48,1.5257,"[1.2742, 1.8269]",0,"1.1089 [1.0013, 1.7752]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,48,0.0056,"[0.0020, 0.0097]",0,"7.6e-07 [5.5e-12, 0.0010]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,48,0.3827,"[0.2655, 0.5517]",0,"0.8525 [0.2533, 0.9991]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),By effect-size count,Type M error,48,2.0113,"[1.5137, 2.6723]",0,"1.0900 [1.0006, 1.9771]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,48,0.023,"[0.0107, 0.0396]",0,"4.2e-07 [1.4e-12, 0.0023]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,48,0.5693,"[0.4506, 0.7194]",0,"0.9129 [0.3624, 0.9999]",
A. Reported results,Meta-analysis level,Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,48,1.3891,"[1.1806, 1.6344]",0,"1.0523 [1.0001, 1.6471]",
A. Reported results,Meta-analysis level,Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,48,0.0042,"[8.7e-05, 0.0089]",0,"7.2e-08 [1.1e-14, 0.00053]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,48,0.2505,"[0.1834, 0.3420]",0,"0.2614 [0.0934, 0.6612]",
