obs_ID,study_ID,year,es,var,meta_ID,research_aim,note,note2
obs_029,Pathan_etal_2008,2008,-1.014,0.256,ma28_02,human,Morris water maze,overlap
obs_030,Pratchayasakul_etal_2015,2015,-0.286,0.33,ma28_02,human,Morris water maze,overlap
obs_031,Pratchayasakul_etal_2015,2015,-0.286,0.33,ma28_02,human,Morris water maze,overlap
obs_032,Scichilone_etal_2016,2016,-0.172,0.119,ma28_02,human,Morris water maze,overlap
obs_033,Silva_etal_2016,2016,-0.234,0.22,ma28_02,human,Morris water maze,overlap
obs_034,Spencer_etal_2017,2017,0.376,0.158,ma28_02,human,Morris water maze,overlap
obs_035,Spinelli_etal_2017,2017,-1.957,0.343,ma28_02,human,Morris water maze,overlap
obs_036,Takechi_etal_2017,2017,-0.308,0.186,ma28_02,human,Morris water maze,overlap
obs_037,Wei_etal_2018,2018,-1.014,0.256,ma28_02,human,Morris water maze,overlap
obs_038,Woodie_Blythe_2018,2018,0.269,0.178,ma28_02,human,Morris water maze,overlap
obs_039,Woodie_Blythe_2018,2018,0.628,0.185,ma28_02,human,Morris water maze,overlap
obs_040,Woodie_Blythe_2018,2018,0.21,0.177,ma28_02,human,Morris water maze,overlap
obs_041,Woodie_Blythe_2018,2018,-0.02,0.176,ma28_02,human,Morris water maze,overlap
obs_042,Wu_etal_2003,2003,-0.155,0.096,ma28_02,human,Morris water maze,not overlap
obs_043,Xu_etal_2018,2018,-1.407,0.285,ma28_02,human,Morris water maze,overlap
obs_044,Abbottetal_2016,2016,-1.01,0.093,ma28_02,human,place recognition task,overlap
obs_045,Abbottetal_2016,2016,-1.01,0.093,ma28_02,human,place recognition task,overlap
obs_046,Ayabe_etal_2018,2018,-0.236,0.225,ma28_02,human,place recognition task,overlap
obs_047,Beilharz_etal_2014,2014,-1.527,0.296,ma28_02,human,place recognition task,overlap
obs_048,Beilharz_etal_2014,2014,-1.014,0.256,ma28_02,human,place recognition task,overlap
obs_049,Beilharz_etal_2014,2014,-1.014,0.256,ma28_02,human,place recognition task,overlap
obs_050,Beilharz_etal_2018,2018,-1.014,0.256,ma28_02,human,place recognition task,overlap
obs_051,Beilharz_etal_2018,2018,-1.014,0.256,ma28_02,human,place recognition task,overlap
obs_052,Magnusson_etal_2015,2015,-0.209,0.286,ma28_02,human,place recognition task,overlap
obs_053,Magnusson_etal_2015,2015,-0.086,0.284,ma28_02,human,place recognition task,overlap
obs_054,Magnusson_etal_2015,2015,0.383,0.29,ma28_02,human,place recognition task,overlap
obs_055,Magnusson_etal_2015,2015,-0.261,0.287,ma28_02,human,place recognition task,overlap
obs_056,Moreira_etal_2014,2014,-1.269,0.224,ma28_02,human,place recognition task,overlap
obs_057,Ross_etal_2013,2013,-0.193,0.074,ma28_02,human,place recognition task,overlap
obs_058,Tran_Westbrook_2015,2015,-1.034,0.135,ma28_02,human,place recognition task,overlap
obs_059,Tran_Westbrook_2018,2018,-1.23,0.187,ma28_02,human,place recognition task,overlap
obs_060,Valladolid_Acebes_etal_2013,2013,-1.495,0.202,ma28_02,human,place recognition task,overlap
obs_061,Valladolid_Acebes_etal_2013,2013,-1.495,0.202,ma28_02,human,place recognition task,overlap
obs_062,Valladolid_Acebes_etal_2013,2013,-0.197,0.157,ma28_02,human,place recognition task,overlap
obs_063,Valladolid_Acebes_etal_2013,2013,-0.197,0.157,ma28_02,human,place recognition task,overlap
obs_064,Xu_Reichelt_2018,2018,-0.957,0.194,ma28_02,human,place recognition task,overlap
obs_065,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_02,human,radial arm or radial arm water maze,overlap
obs_066,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_02,human,radial arm or radial arm water maze,overlap
obs_067,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_02,human,radial arm or radial arm water maze,overlap
obs_068,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_02,human,radial arm or radial arm water maze,overlap
obs_069,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_02,human,radial arm or radial arm water maze,overlap
obs_070,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_02,human,radial arm or radial arm water maze,overlap
obs_071,Alzoubi_etal_2018,2018,-0.728,0.135,ma28_02,human,radial arm or radial arm water maze,overlap
obs_072,Alzoubi_etal_2018,2018,-0.728,0.135,ma28_02,human,radial arm or radial arm water maze,overlap
obs_073,Thirumangalakudi_etal_2008,2008,-1.187,0.343,ma28_02,human,radial arm or radial arm water maze,overlap
obs_074,Thirumangalakudi_etal_2008,2008,-1.187,0.343,ma28_02,human,radial arm or radial arm water maze,overlap
obs_075,Valladolid_Acebes_etal_2011,2011,-1.417,0.131,ma28_02,human,radial arm or radial arm water maze,overlap
obs_076,Valladolid_Acebes_etal_2011,2011,-1.159,0.122,ma28_02,human,radial arm or radial arm water maze,overlap
obs_077,Kanoski_Davidson_2010,2010,-1.407,0.285,ma28_02,human,radial arm or radial arm water maze,overlap
obs_078,Arnold_etal_2014,2014,-1.24,0.477,ma28_02,human,spontaneous alternation (SA) task,overlap
obs_079,Arnold_etal_2014,2014,-0.993,0.225,ma28_02,human,spontaneous alternation (SA) task,overlap
obs_080,Hargrave_etal_2015,2015,-0.94,0.222,ma28_02,human,spontaneous alternation (SA) task,not overlap
obs_081,Hargrave_etal_2015,2015,0.022,0.2,ma28_02,human,spontaneous alternation (SA) task,not overlap
obs_082,Hargrave_etal_2015 ,2015,0.022,0.2,ma28_02,human,spontaneous alternation (SA) task,not overlap
obs_083,Hargrave_etal_2015,2015,0.022,0.2,ma28_02,human,spontaneous alternation (SA) task,not overlap
obs_084,Park_etal_2018,2018,-1.48,0.212,ma28_02,human,spontaneous alternation (SA) task,not overlap
