obs_ID,study_ID,year,ntot,es,var,meta_ID,research_aim
obs_093,Ramakers et al. 2016,2016,15,-0.74,0.21,ma24_01,animal
obs_094,Rørvang and Christensen 2018,2018,24,0.65,0.18,ma24_01,animal
obs_095,Rørvang and Christensen 2018,2018,24,1.18,0.2,ma24_01,animal
obs_096,Rymer et al. 2008,2008,40,0.38,0.1,ma24_01,animal
obs_097,Rymer et al. 2008,2008,40,2.53,0.18,ma24_01,animal
obs_098,Rymer et al. 2008,2008,40,0.86,0.11,ma24_01,animal
obs_099,Rymer et al. 2008,2008,40,1.38,0.12,ma24_01,animal
obs_100,Rymer et al. 2008,2008,40,1.65,0.13,ma24_01,animal
obs_101,Rymer et al. 2008,2008,40,1.04,0.11,ma24_01,animal
obs_102,Sasvari 1979,1979,40,0.68,0.14,ma24_01,animal
obs_103,Sasvari 1979,1979,40,0.25,0.29,ma24_01,animal
obs_104,Sasvari 1979,1979,40,0,0.64,ma24_01,animal
obs_105,Schwab et al. 2008,2008,22,0.54,0.19,ma24_01,animal
obs_106,Seppänen et al. 2011,2011,98,0.2,0.01,ma24_01,animal
obs_107,Seppänen et al. 2011,2011,57,0.92,0.07,ma24_01,animal
obs_108,Swaney et al. 2001,2001,64,1.14,0.07,ma24_01,animal
obs_109,Swaney et al. 2001,2001,64,1.37,0.08,ma24_01,animal
obs_110,Templeton et al. 2017,2017,11,0.5,0.38,ma24_01,animal
obs_111,Templeton et al. 2017,2017,13,-1.15,0.36,ma24_01,animal
obs_112,Trapp and Bell 2017,2017,23,1.11,0.27,ma24_01,animal
obs_113,Trapp and Bell 2017,2017,25,0.19,0.23,ma24_01,animal
obs_114,Valsecchi et al. 1996,1996,20,-0.62,0.21,ma24_01,animal
obs_115,Valsecchi et al. 1996,1996,20,0.58,0.21,ma24_01,animal
obs_116,Valsecchi et al. 1996,1996,20,-0.26,0.2,ma24_01,animal
obs_117,Valsecchi et al. 1996,1996,20,0,0.2,ma24_01,animal
obs_118,Valsecchi et al. 1996,1996,20,-0.13,0.2,ma24_01,animal
obs_119,Valsecchi et al. 1996,1996,20,0.09,0.2,ma24_01,animal
obs_120,Valsecchi et al. 1996,1996,20,-0.67,0.21,ma24_01,animal
obs_121,Valsecchi et al. 1996,1996,20,0.18,0.2,ma24_01,animal
obs_122,Valsecchi et al. 1996,1996,20,0.4,0.2,ma24_01,animal
obs_123,Valsecchi et al. 1996,1996,20,-0.02,0.2,ma24_01,animal
obs_124,Valsecchi et al. 1996,1996,20,-0.35,0.2,ma24_01,animal
obs_125,Valsecchi et al. 1996,1996,20,0.22,0.2,ma24_01,animal
obs_126,Valsecchi et al. 1996,1996,22,1.16,0.23,ma24_01,animal
obs_127,Valsecchi et al. 1996,1996,22,-0.04,0.2,ma24_01,animal
obs_128,Valsecchi et al. 1996,1996,22,0.5,0.2,ma24_01,animal
obs_129,Valsecchi et al. 1996,1996,22,0.07,0.2,ma24_01,animal
obs_130,Valsecchi et al. 1996,1996,22,-0.1,0.2,ma24_01,animal
obs_131,Valsecchi et al. 1996,1996,22,0.43,0.2,ma24_01,animal
obs_132,Watson et al. 2017,2017,19,-1.06,0.35,ma24_01,animal
obs_133,van de Waal et al. 2010,2010,35,1.02,0.2,ma24_01,animal
obs_134,Bono et al. 2018,2018,23,0.56,0.12,ma24_01,animal
obs_135,Sarin & Dukas 2009,2009,141,0.46,0.03,ma24_01,animal
obs_136,Sarin & Dukas 2009,2009,132,0.26,0.03,ma24_01,animal
obs_137,van de Waal et al. 2014,2014,9,2.76,0.4,ma24_01,animal
obs_138,Danchin et al. 2018,2018,128,0.09,0.03,ma24_01,animal
obs_139,Range and Viranyi 2013,2013,14,0.12,0.07,ma24_01,animal
